REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2019/07/01 00:30:00,5362.77,57.98,TRADE
QLD1,2019/07/01 01:00:00,5169.59,51.54,TRADE
QLD1,2019/07/01 01:30:00,5072.89,49.89,TRADE
QLD1,2019/07/01 02:00:00,4983.05,48.45,TRADE
QLD1,2019/07/01 02:30:00,4964.39,43.14,TRADE
QLD1,2019/07/01 03:00:00,4922.88,47.18,TRADE
QLD1,2019/07/01 03:30:00,4907.8,49.09,TRADE
QLD1,2019/07/01 04:00:00,4911.13,57.40,TRADE
QLD1,2019/07/01 04:30:00,4976.5,51.87,TRADE
QLD1,2019/07/01 05:00:00,5091.69,53.42,TRADE
QLD1,2019/07/01 05:30:00,5317,59.68,TRADE
QLD1,2019/07/01 06:00:00,5571.07,67.02,TRADE
QLD1,2019/07/01 06:30:00,5972.76,72.61,TRADE
QLD1,2019/07/01 07:00:00,6259.39,93.08,TRADE
QLD1,2019/07/01 07:30:00,6484.15,92.19,TRADE
QLD1,2019/07/01 08:00:00,6453.69,94,TRADE
QLD1,2019/07/01 08:30:00,6301.54,82.44,TRADE
QLD1,2019/07/01 09:00:00,6115.16,71.11,TRADE
QLD1,2019/07/01 09:30:00,5922.08,69.73,TRADE
QLD1,2019/07/01 10:00:00,5704.64,63.97,TRADE
QLD1,2019/07/01 10:30:00,5678.11,64.36,TRADE
QLD1,2019/07/01 11:00:00,5662.73,59.19,TRADE
QLD1,2019/07/01 11:30:00,5565.94,53.80,TRADE
QLD1,2019/07/01 12:00:00,5587.03,55.60,TRADE
QLD1,2019/07/01 12:30:00,5620.2,56.15,TRADE
QLD1,2019/07/01 13:00:00,5705.09,56.54,TRADE
QLD1,2019/07/01 13:30:00,5787.98,56.76,TRADE
QLD1,2019/07/01 14:00:00,5758.77,57.13,TRADE
QLD1,2019/07/01 14:30:00,5660.12,56.90,TRADE
QLD1,2019/07/01 15:00:00,5924.42,62.05,TRADE
QLD1,2019/07/01 15:30:00,6073.41,65.78,TRADE
QLD1,2019/07/01 16:00:00,6289.36,68.94,TRADE
QLD1,2019/07/01 16:30:00,6582.76,71.36,TRADE
QLD1,2019/07/01 17:00:00,6931.01,81.15,TRADE
QLD1,2019/07/01 17:30:00,7206.39,93.26,TRADE
QLD1,2019/07/01 18:00:00,7353.24,103.43,TRADE
QLD1,2019/07/01 18:30:00,7309.45,97.39,TRADE
