REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2019/07/01 00:30:00,1460.09,54.96,TRADE
SA1,2019/07/01 01:00:00,1424.81,40.83,TRADE
SA1,2019/07/01 01:30:00,1349.49,19.25,TRADE
SA1,2019/07/01 02:00:00,1253.94,22.26,TRADE
SA1,2019/07/01 02:30:00,1193.39,22.81,TRADE
SA1,2019/07/01 03:00:00,1163.68,23.97,TRADE
SA1,2019/07/01 03:30:00,1086.79,17.82,TRADE
SA1,2019/07/01 04:00:00,1062.12,18.63,TRADE
SA1,2019/07/01 04:30:00,1031.16,13.35,TRADE
SA1,2019/07/01 05:00:00,1050.62,14.82,TRADE
SA1,2019/07/01 05:30:00,1064.8,25.69,TRADE
SA1,2019/07/01 06:00:00,1114.07,22.45,TRADE
SA1,2019/07/01 06:30:00,1175.24,53.13,TRADE
SA1,2019/07/01 07:00:00,1289.62,84.03,TRADE
SA1,2019/07/01 07:30:00,1440.89,82.64,TRADE
SA1,2019/07/01 08:00:00,1562.84,91.53,TRADE
SA1,2019/07/01 08:30:00,1665.65,95.04,TRADE
SA1,2019/07/01 09:00:00,1718.69,91.04,TRADE
SA1,2019/07/01 09:30:00,1701,96.41,TRADE
SA1,2019/07/01 10:00:00,1640.98,90.77,TRADE
SA1,2019/07/01 10:30:00,1645.72,73.09,TRADE
SA1,2019/07/01 11:00:00,1597.78,66.55,TRADE
SA1,2019/07/01 11:30:00,1449.51,53,TRADE
SA1,2019/07/01 12:00:00,1448.79,53.90,TRADE
SA1,2019/07/01 12:30:00,1385.05,54.16,TRADE
SA1,2019/07/01 13:00:00,1317.3,52.80,TRADE
SA1,2019/07/01 13:30:00,1314.93,45.12,TRADE
SA1,2019/07/01 14:00:00,1350.52,49.30,TRADE
SA1,2019/07/01 14:30:00,1309.62,54.59,TRADE
SA1,2019/07/01 15:00:00,1279.42,59.35,TRADE
SA1,2019/07/01 15:30:00,1384.49,70.45,TRADE
SA1,2019/07/01 16:00:00,1483.47,87.42,TRADE
SA1,2019/07/01 16:30:00,1521.58,75.81,TRADE
SA1,2019/07/01 17:00:00,1616.06,83.31,TRADE
SA1,2019/07/01 17:30:00,1791.12,91.82,TRADE
SA1,2019/07/01 18:00:00,1922.86,100.33,TRADE
SA1,2019/07/01 18:30:00,2055.62,100.51,TRADE
SA1,2019/07/01 19:00:00,2091.18,100.85,TRADE
SA1,2019/07/01 19:30:00,2071.41,94.99,TRADE
SA1,2019/07/01 20:00:00,2025.44,92.73,TRADE
SA1,2019/07/01 20:30:00,1980.27,83.59,TRADE
SA1,2019/07/01 21:00:00,1896.92,81.38,TRADE
SA1,2019/07/01 21:30:00,1801.16,71.93,TRADE
SA1,2019/07/01 22:00:00,1716.28,70.13,TRADE
SA1,2019/07/01 22:30:00,1612.97,64.43,TRADE
SA1,2019/07/01 23:00:00,1488.34,49.03,TRADE
SA1,2019/07/01 23:30:00,1420.06,57.51,TRADE
SA1,2019/07/02 00:00:00,1582.69,58.44,TRADE
SA1,2019/07/02 00:30:00,1514.09,59.52,TRADE
SA1,2019/07/02 01:00:00,1453.71,43.13,TRADE
SA1,2019/07/02 01:30:00,1364.58,20.46,TRADE
SA1,2019/07/02 02:00:00,1318.26,18.66,TRADE
SA1,2019/07/02 02:30:00,1272.46,23.90,TRADE
SA1,2019/07/02 03:00:00,1223.81,34.61,TRADE
