# Weather station Albury (airport), Australia, WMO_ID=95896,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=95896&lang=en
#
"Local time in Albury (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.06.2019 23:00";"7.4";"754.9";"770.0";"0.6";"86";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"30.06.2019 21:00";"8.7";"754.6";"769.6";"1.2";"80";"Wind blowing from the east-northeast";"2";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"5.4";"No precipitation";"6";"";"";"";"";
"30.06.2019 20:00";"8.7";"754.3";"769.4";"1.5";"80";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"30.06.2019 18:00";"8.9";"753.4";"768.5";"1.4";"78";"Wind blowing from the north-northeast";"1";"";"";"100%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"5.3";"";"";"";"";"";"";
"30.06.2019 17:00";"9.5";"752.8";"767.8";"0.7";"69";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"";"";"";"";"";"";
"30.06.2019 15:00";"11.7";"752.0";"767.1";"-0.7";"63";"Wind blowing from the west-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"No precipitation";"6";"";"";"";"";
"30.06.2019 14:00";"11.4";"752.1";"767.2";"-0.7";"65";"Wind blowing from the west-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"30.06.2019 12:00";"9.4";"752.7";"767.8";"0.8";"72";"Wind blowing from the west";"4";"";"";"70 – 80%.";" ";"";"";"6.6";"";"";"";"600-1000";"";"";"";"4.6";"";"";"";"";"";"";
"30.06.2019 11:00";"9.4";"752.8";"767.8";"1.5";"80";"Wind blowing from the north-west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"30.06.2019 09:00";"7.4";"751.9";"767.0";"1.9";"90";"Wind blowing from the north-west";"4";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"";"5.9";"16.0";"24";"";"";"";"";
"30.06.2019 08:00";"6.8";"751.3";"766.3";"2.1";"92";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"30.06.2019 06:00";"6.9";"750.0";"765.0";"1.4";"89";"Wind blowing from the north-west";"4";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"7.0";"5.2";"";"";"";"";"";"";
"30.06.2019 05:00";"7.8";"749.2";"764.2";"0.9";"83";"Wind blowing from the north-west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"30.06.2019 03:00";"7.9";"748.6";"763.6";"0.5";"85";"Wind blowing from the north-northwest";"4";"";"";"100%.";" ";"Precipitation";"Precipitation";"";"";"";"";"300-600";"";"";"";"5.5";"0.2";"6";"";"";"";"";
"30.06.2019 02:00";"8.0";"748.3";"763.3";"0.3";"88";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"30.06.2019 00:00";"8.6";"748.1";"763.1";"0.9";"90";"Wind blowing from the north-northwest";"3";"";"";"100%.";"Precipitation ";"";"Precipitation";"";"17.2";"";"";"300-600";"";"";"";"7.1";"";"";"";"";"";"";
"29.06.2019 23:00";"8.6";"748.0";"763.0";"1.3";"92";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.4";"";"";"";"";"";"";
"29.06.2019 21:00";"8.7";"747.2";"762.1";"3.2";"90";"Wind blowing from the north";"3";"";"";"100%.";"Precipitation ";"Precipitation";"Precipitation";"";"";"";"";"600-1000";"";"";"";"7.2";"14.0";"6";"";"";"";"";
"29.06.2019 20:00";"8.5";"746.7";"761.6";"2.5";"92";"Wind blowing from the west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"29.06.2019 18:00";"13.2";"744.0";"758.8";"-1.9";"79";"Wind blowing from the north-northeast";"7";"";"";"100%.";"Precipitation, slight or moderate. ";"";"Precipitation";"";"";"";"";"1500-2000";"";"";"";"9.6";"";"";"";"";"";"";
"29.06.2019 17:00";"13.4";"744.2";"759.1";"-2.1";"76";"Wind blowing from the north-northeast";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"29.06.2019 15:00";"13.8";"745.9";"760.9";"-3.3";"78";"Wind blowing from the north";"6";"";"";"100%.";"Precipitation, slight or moderate. ";"Precipitation";"Precipitation";"";"";"";"";"1000-1500";"";"";"";"10.0";"1.0";"6";"";"";"";"";
"29.06.2019 14:00";"16.6";"746.3";"761.2";"-4.4";"58";"Wind blowing from the north-northeast";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"29.06.2019 12:00";"16.6";"749.2";"764.2";"-2.6";"60";"Wind blowing from the north-northeast";"7";"";"";"40%.";" ";"";"";"4.2";"";"";"";"2000-2500";"";"";"";"8.8";"";"";"";"";"";"";
"29.06.2019 11:00";"15.7";"750.7";"765.7";"-1.5";"61";"Wind blowing from the north-northeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.2";"";"";"";"";"";"";
"29.06.2019 09:00";"14.2";"751.8";"766.8";"-0.4";"69";"Wind blowing from the north-northeast";"6";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"8.6";"No precipitation";"24";"";"";"";"";
"29.06.2019 08:00";"8.4";"752.2";"767.3";"-0.1";"94";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.5";"";"";"";"";"";"";
"29.06.2019 06:00";"7.0";"752.2";"767.3";"-0.9";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"6.3";"";"";"";"";"";"";
"29.06.2019 05:00";"7.2";"752.3";"767.4";"-1.1";"94";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"29.06.2019 03:00";"6.2";"753.1";"768.1";"-0.8";"95";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"5.5";"No precipitation";"6";"";"";"";"";
"29.06.2019 02:00";"6.3";"753.4";"768.4";"-1.3";"96";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"29.06.2019 00:00";"5.4";"753.9";"769.0";"-1.0";"96";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"16.7";"";"";"";"";"";"0.4";"4.8";"";"";"";"";"";"";
"28.06.2019 23:00";"5.1";"754.7";"769.8";"-0.2";"94";"Wind blowing from the north-northwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"28.06.2019 21:00";"7.6";"754.9";"769.9";"0.1";"90";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"No precipitation";"6";"";"";"";"";
