# Weather station Canberra (airport), Australia, WMO_ID=94926,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=94926&lang=en
#
"Local time in Canberra (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.06.2019 23:00";"2.6";"718.2";"770.1";"0.9";"86";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"30.06.2019 22:00";"1.8";"718.0";"769.9";"1.2";"84";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.6";"";"";"";"";"";"";
"30.06.2019 21:00";"3.8";"717.8";"769.7";"1.9";"80";"Wind blowing from the north";"4";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"0.7";"No precipitation";"6";"";"";"";"";
"30.06.2019 20:00";"4.7";"717.3";"769.1";"2.3";"74";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"30.06.2019 19:00";"5.1";"716.8";"768.7";"1.9";"70";"Wind blowing from the north-west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.1";"";"";"";"";"";"";
"30.06.2019 18:00";"6.0";"715.9";"767.7";"1.5";"67";"Wind blowing from the north-west";"7";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"0.3";"";"";"";"";"";"";
"30.06.2019 17:00";"7.0";"715.0";"766.7";"1.1";"62";"Wind blowing from the north-west";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.2";"";"";"";"";"";"";
"30.06.2019 16:00";"9.2";"714.9";"766.6";"1.4";"51";"Wind blowing from the north-west";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.4";"";"";"";"";"";"";
"30.06.2019 15:00";"10.2";"714.4";"766.0";"0.7";"49";"Wind blowing from the north-northwest";"7";"";"";"";"No significant weather observed. ";"Precipitation";"Precipitation";"";"";"";"";"";"";"";"";"0.0";"0.2";"6";"";"";"";"";
"30.06.2019 14:00";"10.1";"713.9";"765.5";"-0.2";"54";"Wind blowing from the north-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.0";"";"";"";"";"";"";
