# Weather station Casino (airport), Australia, WMO_ID=94573,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=94573&lang=en
#
"Local time in Casino (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.06.2019 23:00";"12.1";"764.5";"766.5";"0.5";"92";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.8";"";"";"";"";"";"";
"30.06.2019 21:00";"12.7";"764.2";"766.1";"1.2";"90";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.1";"No precipitation";"6";"";"";"";"";
"30.06.2019 20:00";"13.2";"764.0";"766.0";"1.4";"87";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.1";"";"";"";"";"";"";
"30.06.2019 18:00";"15.7";"763.0";"764.9";"0.7";"82";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.6";"";"";"";"";"";"";
"30.06.2019 17:00";"18.0";"762.6";"764.5";"0.3";"72";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.9";"";"";"";"";"";"";
"30.06.2019 15:00";"23.3";"762.3";"764.2";"-1.3";"48";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.7";"No precipitation";"6";"";"";"";"";
"30.06.2019 14:00";"23.4";"762.3";"764.2";"-2.0";"49";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.1";"";"";"";"";"";"";
"30.06.2019 12:00";"21.0";"763.6";"765.5";"-1.5";"63";"Wind blowing from the west-northwest";"2";"";"";"";" ";"";"";"11.3";"";"";"";"";"";"";"";"13.7";"";"";"";"";"";"";
"30.06.2019 11:00";"19.0";"764.3";"766.3";"-0.7";"71";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.6";"";"";"";"";"";"";
"30.06.2019 09:00";"13.7";"765.1";"767.0";"0.6";"94";"Wind blowing from the north-northwest";"3";"";"";"";" ";"Precipitation";"Precipitation";"";"";"";"";"";"";"";"";"12.8";"1.0";"24";"";"";"";"";
