# Weather station Dubbo (airport), Australia, WMO_ID=95719,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=95719&lang=en
#
"Local time in Dubbo (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.06.2019 23:00";"6.5";"744.3";"770.1";"1.0";"81";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"30.06.2019 22:00";"7.2";"744.1";"769.9";"1.0";"78";"Wind blowing from the south-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"30.06.2019 21:00";"7.6";"743.9";"769.7";"1.3";"76";"Wind blowing from the south-southeast";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"3.6";"No precipitation";"6";"";"";"";"";
"30.06.2019 20:00";"8.0";"743.3";"769.0";"1.0";"75";"Wind blowing from the south";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"30.06.2019 19:00";"8.1";"743.1";"768.8";"1.0";"73";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.4";"";"";"";"";"";"";
"30.06.2019 18:00";"9.8";"742.6";"768.4";"0.8";"63";"Wind blowing from the south-southwest";"4";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"3.1";"";"";"";"";"";"";
"30.06.2019 17:00";"12.1";"742.3";"768.1";"0.5";"53";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.6";"";"";"";"";"";"";
"30.06.2019 16:00";"14.0";"742.1";"767.8";"0.1";"47";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.9";"";"";"";"";"";"";
"30.06.2019 15:00";"14.7";"741.8";"767.5";"-0.4";"48";"Wind blowing from the south-west";"4";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"3.8";"No precipitation";"6";"";"";"";"";
"30.06.2019 14:00";"14.3";"741.8";"767.5";"-0.8";"49";"Wind blowing from the south";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
"30.06.2019 13:00";"14.6";"742.0";"767.7";"-0.9";"53";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"30.06.2019 12:00";"13.2";"742.2";"767.9";"-0.4";"58";"Wind blowing from the west-southwest";"5";"";"";"10%  or less, but not 0";"No significant weather observed. ";"";"";"5.4";"";"";"";"600-1000";"";"";"";"5.1";"";"";"";"";"";"";
"30.06.2019 11:00";"12.8";"742.6";"768.3";"0.3";"64";"Wind blowing from the west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"30.06.2019 10:00";"11.4";"742.9";"768.6";"0.9";"73";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"30.06.2019 09:00";"9.7";"742.6";"768.3";"1.1";"83";"Wind blowing from the west";"2";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"7.0";"3.0";"24";"";"";"";"";
"30.06.2019 08:00";"7.4";"742.3";"768.1";"1.2";"98";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"30.06.2019 07:00";"6.6";"742.0";"767.7";"1.4";"97";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"30.06.2019 06:00";"7.4";"741.5";"767.2";"1.0";"96";"Wind blowing from the south-southeast";"2";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"30.06.2019 05:00";"8.0";"741.1";"766.7";"0.4";"93";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"30.06.2019 04:00";"8.6";"740.6";"766.3";"0.5";"93";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.5";"";"";"";"";"";"";
"30.06.2019 03:00";"8.5";"740.5";"766.2";"2.4";"95";"Wind blowing from the east-southeast";"4";"";"";"60%.";"Drizzle (not freezing) or snow grains. ";"Precipitation";"Precipitation";"";"";"";"";"1000-1500";"";"";"";"7.7";"3.0";"6";"";"";"";"";
"30.06.2019 02:00";"8.9";"740.7";"766.3";"2.3";"95";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"30.06.2019 01:00";"10.2";"740.1";"765.7";"1.7";"90";"Wind blowing from the south-southwest";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"30.06.2019 00:00";"14.5";"738.1";"763.6";"-0.5";"71";"Wind blowing from the north";"8";"";"";"70 – 80%.";"Rain shower(s) or intermittent rain, moderate. ";"";"Precipitation";"";"21.1";"";"";"200-300";"";"";"";"9.3";"";"";"";"";"";"";
"29.06.2019 23:00";"16.4";"738.4";"764.0";"-1.1";"52";"Wind blowing from the north";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"29.06.2019 22:00";"16.6";"738.4";"764.0";"-0.7";"49";"Wind blowing from the north";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"29.06.2019 21:00";"16.6";"738.6";"764.2";"-0.7";"49";"Wind blowing from the north";"7";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"";"";"";"";"5.9";"No precipitation";"6";"";"";"";"";
"29.06.2019 20:00";"17.3";"739.5";"765.1";"0.2";"46";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"29.06.2019 19:00";"17.9";"739.1";"764.7";"-0.7";"43";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"29.06.2019 18:00";"18.3";"739.3";"764.9";"-0.3";"41";"Wind blowing from the north";"7";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"29.06.2019 17:00";"18.6";"739.3";"765.0";"-1.3";"39";"Wind blowing from the north";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"29.06.2019 16:00";"19.3";"739.8";"765.4";"-1.7";"36";"Wind blowing from the north";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"29.06.2019 15:00";"20.1";"739.6";"765.3";"-3.1";"37";"Wind blowing from the north";"10";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"5.0";"No precipitation";"6";"";"";"";"";
"29.06.2019 14:00";"20.2";"740.6";"766.3";"-3.2";"36";"Wind blowing from the north";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"29.06.2019 13:00";"20.3";"741.5";"767.2";"-2.8";"37";"Wind blowing from the north-northwest";"11";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"29.06.2019 12:00";"20.1";"742.7";"768.4";"-1.8";"39";"Wind blowing from the north";"10";"";"";"";"No significant weather observed. ";"";"";"8.3";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"29.06.2019 11:00";"18.6";"743.8";"769.6";"-0.6";"41";"Wind blowing from the north";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"29.06.2019 10:00";"17.3";"744.3";"770.1";"0.2";"46";"Wind blowing from the north-northeast";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"29.06.2019 09:00";"14.2";"744.5";"770.3";"0.6";"59";"Wind blowing from the east-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"3.0";"6.3";"No precipitation";"24";"";"";"";"";
"29.06.2019 08:00";"11.1";"744.4";"770.2";"0.5";"73";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"29.06.2019 07:00";"8.4";"744.1";"769.9";"0.1";"82";"Wind blowing from the east-northeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.5";"";"";"";"";"";"";
"29.06.2019 06:00";"8.8";"743.9";"769.7";"-0.3";"82";"Wind blowing from the east";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"29.06.2019 05:00";"9.2";"743.9";"769.7";"-0.5";"82";"Wind blowing from the east-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"29.06.2019 04:00";"9.8";"744.0";"769.8";"-0.6";"85";"Wind blowing from the east-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.4";"";"";"";"";"";"";
"29.06.2019 03:00";"11.1";"744.2";"770.0";"-0.8";"82";"Wind blowing from the east-northeast";"6";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"8.1";"No precipitation";"6";"";"";"";"";
"29.06.2019 02:00";"11.1";"744.4";"770.2";"-0.9";"82";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"29.06.2019 01:00";"12.2";"744.6";"770.4";"-0.8";"76";"Wind blowing from the east-northeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
