# Weather station Moree (airport), Australia, WMO_ID=95527,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=95527&lang=en
#
"Local time in Moree (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.06.2019 23:00";"8.8";"747.8";"767.5";"0.2";"51";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.8";"";"";"";"";"";"";
"30.06.2019 22:00";"9.4";"747.7";"767.4";"0.3";"48";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.3";"";"";"";"";"";"";
"30.06.2019 21:00";"10.9";"747.7";"767.4";"0.9";"43";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.2";"No precipitation";"6";"";"";"";"";
"30.06.2019 20:00";"13.0";"747.6";"767.2";"1.4";"38";"Wind blowing from the south-west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.0";"";"";"";"";"";"";
"30.06.2019 19:00";"15.0";"747.4";"767.1";"1.7";"39";"Wind blowing from the south-west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.2";"";"";"";"";"";"";
"30.06.2019 18:00";"17.0";"746.8";"766.4";"1.1";"40";"Wind blowing from the south-west";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.3";"";"";"";"";"";"";
"30.06.2019 17:00";"19.9";"746.2";"765.8";"0.5";"41";"Wind blowing from the south-west";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"30.06.2019 16:00";"22.2";"745.7";"765.3";"-0.2";"36";"Wind blowing from the west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.4";"";"";"";"";"";"";
"30.06.2019 15:00";"23.0";"745.7";"765.3";"-0.8";"35";"Wind blowing from the west";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"6.7";"No precipitation";"6";"";"";"";"";
"30.06.2019 14:00";"22.4";"745.7";"765.3";"-1.4";"36";"Wind blowing from the west-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.6";"";"";"";"";"";"";
"30.06.2019 13:00";"21.8";"745.9";"765.5";"-1.7";"38";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"30.06.2019 12:00";"20.3";"746.5";"766.2";"-1.2";"45";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"11.7";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"30.06.2019 11:00";"19.0";"747.1";"766.8";"-0.7";"54";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.5";"";"";"";"";"";"";
"30.06.2019 10:00";"17.6";"747.6";"767.2";"0.6";"63";"Wind blowing from the north-northeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.5";"";"";"";"";"";"";
"30.06.2019 09:00";"15.1";"747.7";"767.3";"1.2";"74";"Wind blowing from the north-northeast";"5";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"10.5";"No precipitation";"24";"";"";"";"";
"30.06.2019 08:00";"13.0";"747.8";"767.5";"1.8";"81";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.8";"";"";"";"";"";"";
"30.06.2019 07:00";"12.6";"747.0";"766.6";"0.8";"82";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.6";"";"";"";"";"";"";
"30.06.2019 06:00";"12.7";"746.5";"766.2";"0.0";"81";"Wind blowing from the north-northeast";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"9.5";"";"";"";"";"";"";
"30.06.2019 05:00";"12.3";"746.0";"765.6";"-0.6";"80";"Wind blowing from the north-northeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.0";"";"";"";"";"";"";
"30.06.2019 04:00";"11.8";"746.2";"765.8";"-0.5";"80";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"30.06.2019 03:00";"12.6";"746.5";"766.1";"-0.4";"75";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"No precipitation";"6";"";"";"";"";
"30.06.2019 02:00";"12.4";"746.6";"766.3";"-0.6";"75";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"30.06.2019 01:00";"12.1";"746.7";"766.3";"-0.4";"75";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"30.06.2019 00:00";"12.7";"746.9";"766.6";"-0.2";"76";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"23.2";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"29.06.2019 23:00";"12.9";"747.2";"766.9";"-0.2";"74";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.4";"";"";"";"";"";"";
"29.06.2019 22:00";"13.7";"747.1";"766.7";"0.6";"71";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"29.06.2019 21:00";"14.5";"747.1";"766.8";"0.4";"67";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"No precipitation";"6";"";"";"";"";
"29.06.2019 20:00";"15.5";"747.4";"767.0";"0.6";"62";"Wind blowing from the north-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"29.06.2019 19:00";"17.9";"746.5";"766.2";"-0.6";"54";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"29.06.2019 18:00";"18.6";"746.7";"766.3";"-0.4";"49";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.7";"";"";"";"";"";"";
"29.06.2019 17:00";"20.1";"746.8";"766.5";"-0.9";"43";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"29.06.2019 16:00";"22.1";"747.1";"766.8";"-1.1";"37";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
