# Weather station Taree (airport), Australia, WMO_ID=95784,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=95784&lang=en
#
"Local time in Taree (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.06.2019 23:00";"10.6";"766.8";"767.6";"0.5";"91";"Wind blowing from the south-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.2";"";"";"";"";"";"";
"30.06.2019 21:00";"11.5";"766.6";"767.4";"1.5";"89";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";"No significant weather observed. ";"";"";"";"";"";"";"1000-1500";"";"";"";"9.8";"No precipitation";"6";"";"";"";"";
"30.06.2019 20:00";"12.1";"766.3";"767.1";"1.8";"77";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.2";"";"";"";"";"";"";
"30.06.2019 18:00";"14.2";"765.1";"766.0";"1.4";"68";"Wind blowing from the north-northwest";"1";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"1000-1500";"";"";"";"8.4";"";"";"";"";"";"";
"30.06.2019 17:00";"15.6";"764.5";"765.3";"1.2";"59";"Wind blowing from the south-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"30.06.2019 15:00";"18.5";"763.7";"764.5";"-0.2";"66";"Wind blowing from the east-southeast";"4";"";"";"40%.";"No significant weather observed. ";"";"";"";"";"";"";"2000-2500";"";"";"";"12.0";"No precipitation";"6";"";"";"";"";
"30.06.2019 14:00";"19.3";"763.3";"764.2";"-1.3";"63";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.1";"";"";"";"";"";"";
"30.06.2019 12:00";"18.7";"763.9";"764.7";"-0.9";"63";"Wind blowing from the south-east";"5";"";"";"100%.";"No significant weather observed. ";"";"";"6.9";"";"";"";"1500-2000";"";"";"";"11.5";"";"";"";"";"";"";
"30.06.2019 11:00";"21.0";"764.6";"765.4";"0.2";"52";"Wind blowing from the west-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.8";"";"";"";"";"";"";
"30.06.2019 09:00";"13.0";"764.8";"765.7";"1.2";"88";"Wind blowing from the south-southeast";"2";"";"";"100%.";"No significant weather observed. ";"Precipitation";"Precipitation";"";"";"";"";"1500-2000";"";"";"";"11.1";"1.0";"24";"";"";"";"";
"30.06.2019 08:00";"9.6";"764.4";"765.2";"0.9";"100";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.6";"";"";"";"";"";"";
"30.06.2019 06:00";"7.5";"763.6";"764.5";"0.3";"99";"Wind blowing from the west-northwest";"2";"";"";"10%  or less, but not 0";"No significant weather observed. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"7.4";"";"";"";"";"";"";
"30.06.2019 05:00";"8.8";"763.5";"764.3";"0.0";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.7";"";"";"";"";"";"";
"30.06.2019 03:00";"9.3";"763.3";"764.2";"-0.8";"99";"Wind blowing from the north-west";"2";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"";"";"";"";"9.2";"No precipitation";"6";"";"";"";"";
"30.06.2019 02:00";"9.7";"763.5";"764.3";"-1.3";"99";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.6";"";"";"";"";"";"";
"30.06.2019 00:00";"11.3";"764.1";"764.9";"-1.3";"99";"Wind blowing from the north-east";"2";"";"";"";"No significant weather observed. ";"";"";"";"19.3";"";"";"";"";"";"";"11.1";"";"";"";"";"";"";
"29.06.2019 23:00";"11.2";"764.8";"765.7";"-0.7";"96";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.6";"";"";"";"";"";"";
"29.06.2019 21:00";"15.9";"765.4";"766.3";"-0.2";"80";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";"No significant weather observed. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"12.5";"No precipitation";"6";"";"";"";"";
"29.06.2019 20:00";"15.1";"765.5";"766.3";"-0.4";"80";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.7";"";"";"";"";"";"";
"29.06.2019 18:00";"14.9";"765.6";"766.4";"-1.1";"86";"Wind blowing from the north-east";"3";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"12.6";"";"";"";"";"";"";
"29.06.2019 17:00";"16.2";"765.9";"766.7";"-1.2";"79";"Wind blowing from the east-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.6";"";"";"";"";"";"";
"29.06.2019 15:00";"19.0";"766.7";"767.5";"-2.0";"70";"Wind blowing from the north-northeast";"4";"";"";"50%.";"No significant weather observed. ";"Precipitation";"Precipitation";"";"";"";"";"600-1000";"";"";"";"13.4";"1.0";"6";"";"";"";"";
"29.06.2019 14:00";"17.1";"767.1";"767.9";"-2.8";"82";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.0";"";"";"";"";"";"";
"29.06.2019 12:00";"14.2";"768.7";"769.6";"-1.7";"97";"Wind blowing from the west-southwest";"2";"";"";"100%.";"Rain shower(s) or intermittent rain, slight. ";"";"Precipitation";"7.0";"";"";"";"100-200";"";"";"";"13.7";"";"";"";"";"";"";
"29.06.2019 11:00";"12.9";"769.9";"770.8";"-0.4";"96";"Wind blowing from the west-northwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.3";"";"";"";"";"";"";
"29.06.2019 09:00";"11.3";"770.4";"771.2";"0.4";"97";"Wind blowing from the south-west";"3";"";"";"90  or more, but not 100%";"Precipitation ";"Precipitation";"Precipitation";"";"";"";"";"300-600";"";"";"";"10.8";"0.4";"24";"";"";"";"";
"29.06.2019 08:00";"10.1";"770.3";"771.1";"0.4";"96";"Wind blowing from the west-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.5";"";"";"";"";"";"";
"29.06.2019 06:00";"9.3";"770.0";"770.8";"-0.6";"99";"Wind blowing from the west";"2";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"600-1000";"";"";"";"9.2";"";"";"";"";"";"";
"29.06.2019 05:00";"8.9";"769.9";"770.7";"-1.0";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.8";"";"";"";"";"";"";
"29.06.2019 03:00";"9.0";"770.6";"771.4";"-1.0";"99";"Wind blowing from the west";"1";"";"";"";"No significant weather observed. ";"Precipitation";"Precipitation";"";"";"";"";"";"";"";"";"8.9";"0.2";"6";"";"";"";"";
"29.06.2019 02:00";"9.9";"770.9";"771.7";"-0.8";"99";"Wind blowing from the west-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.8";"";"";"";"";"";"";
"29.06.2019 00:00";"9.3";"771.6";"772.4";"-0.5";"99";"Wind blowing from the west-northwest";"2";"";"";"20–30%.";"No significant weather observed. ";"";"";"";"20.5";"";"";"2000-2500";"";"";"";"9.2";"";"";"";"";"";"";
"28.06.2019 23:00";"9.2";"771.7";"772.5";"-0.2";"97";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.7";"";"";"";"";"";"";
"28.06.2019 21:00";"10.3";"772.1";"772.9";"0.8";"96";"Calm, no wind";"0";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"9.7";"No precipitation";"6";"";"";"";"";
"28.06.2019 20:00";"11.0";"771.9";"772.7";"0.8";"94";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"28.06.2019 18:00";"13.9";"771.3";"772.1";"-0.1";"79";"Wind blowing from the east";"2";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"10.3";"";"";"";"";"";"";
"28.06.2019 17:00";"15.4";"771.1";"771.9";"-0.6";"73";"Wind blowing from the east-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.6";"";"";"";"";"";"";
"28.06.2019 15:00";"18.5";"771.4";"772.2";"-1.5";"58";"Wind blowing from the north";"3";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"10.1";"No precipitation";"6";"";"";"";"";
"28.06.2019 14:00";"17.5";"771.7";"772.6";"-2.0";"71";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.2";"";"";"";"";"";"";
"28.06.2019 12:00";"18.4";"772.9";"773.8";"-1.5";"59";"Wind blowing from the east-northeast";"3";"";"";"";"No significant weather observed. ";"";"";"7.8";"";"";"";"";"";"";"";"10.3";"";"";"";"";"";"";
"28.06.2019 11:00";"17.2";"773.7";"774.5";"-0.5";"72";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.1";"";"";"";"";"";"";
"28.06.2019 09:00";"12.8";"774.4";"775.2";"0.7";"92";"Wind blowing from the west";"3";"";"";"";"No significant weather observed. ";"Precipitation";"Precipitation";"";"";"";"";"";"";"";"";"11.5";"2.0";"24";"";"";"";"";
"28.06.2019 08:00";"10.5";"774.2";"775.0";"1.0";"100";"Wind blowing from the west-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.5";"";"";"";"";"";"";
"28.06.2019 06:00";"9.7";"773.7";"774.5";"0.5";"99";"Wind blowing from the north-west";"2";"";"";"";"Precipitation ";"";"Precipitation";"";"";"";"";"";"";"";"";"9.6";"";"";"";"";"";"";
"28.06.2019 05:00";"10.2";"773.2";"774.1";"-0.5";"99";"Wind blowing from the north-northwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"28.06.2019 03:00";"10.5";"773.2";"774.0";"-1.1";"99";"Wind blowing from the west";"3";"";"";"10%  or less, but not 0";"No significant weather observed. ";"Precipitation";"Precipitation";"";"";"";"";"2000-2500";"";"";"";"10.3";"2.0";"6";"";"";"";"";
"28.06.2019 02:00";"11.1";"773.7";"774.5";"-0.4";"99";"Wind blowing from the west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.9";"";"";"";"";"";"";
"28.06.2019 00:00";"10.0";"774.3";"775.1";"-0.1";"99";"Wind blowing from the north-northeast";"3";"";"";"100%.";"Rain shower(s) or intermittent rain, slight. ";"";"Precipitation";"";"18.6";"";"";"1000-1500";"";"";"8.0";"9.9";"";"";"";"";"";"";
"27.06.2019 23:00";"11.3";"774.1";"775.0";"-0.1";"98";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.0";"";"";"";"";"";"";
"27.06.2019 21:00";"10.4";"774.4";"775.2";"0.8";"98";"Wind blowing from the south-west";"1";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"10.1";"No precipitation";"6";"";"";"";"";
"27.06.2019 20:00";"11.1";"774.2";"775.0";"1.0";"93";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";
"27.06.2019 18:00";"13.8";"773.6";"774.4";"0.6";"77";"Calm, no wind";"0";"";"";"20–30%.";"No significant weather observed. ";"";"";"";"";"";"";"1000-1500";"";"";"";"9.8";"";"";"";"";"";"";
"27.06.2019 17:00";"15.5";"773.2";"774.1";"0.0";"70";"Wind blowing from the east-southeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"27.06.2019 15:00";"17.6";"773.0";"773.8";"-1.1";"65";"Wind blowing from the east-southeast";"3";"";"";"20–30%.";"No significant weather observed. ";"";"";"";"";"";"";"2000-2500";"";"";"";"10.9";"No precipitation";"6";"";"";"";"";
"27.06.2019 14:00";"18.0";"773.2";"774.0";"-1.5";"60";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"27.06.2019 12:00";"17.4";"774.1";"774.9";"-1.1";"69";"Wind blowing from the east";"3";"";"";"50%.";"No significant weather observed. ";"";"";"7.8";"";"";"";"2000-2500";"";"";"";"11.7";"";"";"";"";"";"";
"27.06.2019 11:00";"17.1";"774.7";"775.6";"-0.3";"68";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.2";"";"";"";"";"";"";
"27.06.2019 09:00";"13.1";"775.2";"776.0";"0.8";"86";"Wind blowing from the north-west";"4";"";"";"10%  or less, but not 0";"No significant weather observed. ";"Precipitation";"Precipitation";"";"";"";"";"1000-1500";"";"";"";"10.8";"0.2";"24";"";"";"";"";
"27.06.2019 08:00";"10.4";"775.0";"775.9";"1.0";"97";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.9";"";"";"";"";"";"";
"27.06.2019 06:00";"9.5";"774.4";"775.2";"0.6";"99";"Wind blowing from the west";"3";"";"";"20–30%.";"No significant weather observed. ";"";"Precipitation";"";"";"";"";"2000-2500";"";"";"";"9.4";"";"";"";"";"";"";
"27.06.2019 05:00";"9.1";"774.0";"774.8";"0.2";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.0";"";"";"";"";"";"";
"27.06.2019 03:00";"10.4";"773.8";"774.6";"-0.2";"97";"Wind blowing from the west";"3";"";"";"10%  or less, but not 0";"No significant weather observed. ";"";"";"";"";"";"";"1000-1500";"";"";"";"9.9";"No precipitation";"6";"";"";"";"";
"27.06.2019 02:00";"11.3";"773.8";"774.7";"-0.3";"98";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.0";"";"";"";"";"";"";
"27.06.2019 00:00";"10.0";"774.0";"774.8";"-0.1";"98";"Wind blowing from the west-northwest";"2";"";"";"10%  or less, but not 0";"No significant weather observed. ";"";"";"";"18.4";"";"";"600-1000";"";"";"";"9.7";"";"";"";"";"";"";
"26.06.2019 23:00";"10.0";"774.1";"774.9";"-0.1";"98";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.7";"";"";"";"";"";"";
