# Weather station Gladstone (airport), Australia, WMO_ID=94381,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=94381&lang=en
#
"Local time in Gladstone (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.06.2019 21:00";"17.3";"763.9";"765.4";"1.3";"80";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.8";"No precipitation";"6";"";"";"";"";
"30.06.2019 18:00";"20.3";"762.6";"764.1";"0.4";"72";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.1";"";"";"";"";"";"";
"30.06.2019 15:00";"22.3";"762.2";"763.7";"-1.3";"63";"Wind blowing from the east-northeast";"6";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"14.9";"No precipitation";"6";"";"";"";"";
"30.06.2019 12:00";"22.9";"763.5";"765.0";"-1.2";"59";"Wind blowing from the east-southeast";"6";"";"";"100%.";" ";"";"";"14.0";"";"";"";"600-1000";"";"";"";"14.5";"";"";"";"";"";"";
"30.06.2019 09:00";"18.5";"764.7";"766.2";"0.8";"75";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"14.0";"No precipitation";"24";"";"";"";"";
"30.06.2019 06:00";"14.2";"763.9";"765.4";"0.3";"88";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.2";"";"";"";"";"";"";
"30.06.2019 03:00";"15.3";"763.6";"765.1";"-0.3";"83";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.4";"No precipitation";"6";"";"";"";"";
"30.06.2019 00:00";"17.2";"763.9";"765.4";"-0.6";"77";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"25.0";"";"";"";"";"";"";"13.1";"";"";"";"";"";"";
"29.06.2019 21:00";"19.2";"764.5";"766.0";"0.7";"69";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.4";"No precipitation";"6";"";"";"";"";
"29.06.2019 18:00";"21.1";"763.8";"765.3";"0.2";"64";"Wind blowing from the east-southeast";"4";"";"";"20–30%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"14.0";"";"";"";"";"";"";
"29.06.2019 15:00";"24.1";"763.6";"765.1";"-1.4";"50";"Wind blowing from the east";"6";"";"";"40%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"13.0";"No precipitation";"6";"";"";"";"";
"29.06.2019 12:00";"23.5";"765.0";"766.5";"-1.6";"53";"Wind blowing from the south-east";"5";"";"";"10%  or less, but not 0";" ";"";"";"13.5";"";"";"";"1500-2000";"";"";"";"13.4";"";"";"";"";"";"";
"29.06.2019 09:00";"18.6";"766.6";"768.1";"0.7";"66";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.1";"No precipitation";"24";"";"";"";"";
"29.06.2019 06:00";"14.3";"765.9";"767.4";"0.2";"79";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"10.7";"";"";"";"";"";"";
"29.06.2019 03:00";"15.2";"765.7";"767.2";"-1.3";"72";"Wind blowing from the south-southwest";"3";"";"";"60%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"10.2";"No precipitation";"6";"";"";"";"";
"29.06.2019 00:00";"16.1";"767.0";"768.5";"-0.6";"66";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"24.4";"";"";"";"";"";"";"9.8";"";"";"";"";"";"";
"28.06.2019 21:00";"17.6";"767.6";"769.1";"0.7";"59";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.5";"No precipitation";"6";"";"";"";"";
"28.06.2019 18:00";"20.0";"766.9";"768.4";"0.7";"46";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"28.06.2019 15:00";"23.0";"766.2";"767.7";"-1.3";"41";"Wind blowing from the east-southeast";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.0";"No precipitation";"6";"";"";"";"";
"28.06.2019 12:00";"23.2";"767.5";"769.0";"-0.8";"50";"Wind blowing from the east-southeast";"8";"";"";"40%.";" ";"";"";"17.3";"";"";"";"1000-1500";"";"";"";"12.2";"";"";"";"";"";"";
"28.06.2019 09:00";"20.9";"768.3";"769.8";"1.3";"61";"Wind blowing from the south-east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.1";"No precipitation";"24";"";"";"";"";
"28.06.2019 06:00";"17.5";"767.0";"768.5";"0.2";"73";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.6";"";"";"";"";"";"";
"28.06.2019 03:00";"18.1";"766.8";"768.3";"-0.7";"70";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.5";"No precipitation";"6";"";"";"";"";
"28.06.2019 00:00";"18.5";"767.5";"769.0";"-0.6";"67";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"24.5";"";"";"";"";"";"";"12.3";"";"";"";"";"";"";
"27.06.2019 21:00";"19.5";"768.1";"769.6";"0.9";"64";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.5";"No precipitation";"6";"";"";"";"";
"27.06.2019 18:00";"20.9";"767.2";"768.7";"1.6";"55";"Wind blowing from the south-east";"7";"";"";"50%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"11.5";"";"";"";"";"";"";
"27.06.2019 15:00";"23.2";"765.6";"767.1";"-0.7";"50";"Wind blowing from the east-southeast";"9";"";"";"60%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"12.2";"No precipitation";"6";"";"";"";"";
"27.06.2019 12:00";"23.1";"766.3";"767.8";"-0.7";"58";"Wind blowing from the south-east";"8";"";"";"70 – 80%.";" ";"";"";"16.6";"";"";"";"600-1000";"";"";"";"14.4";"";"";"";"";"";"";
"27.06.2019 09:00";"20.1";"767.0";"768.5";"1.0";"74";"Wind blowing from the south-east";"6";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"15.3";"8.0";"24";"";"";"";"";
