# Weather station Mackay (airport), Australia, WMO_ID=95367,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=95367&lang=en
#
"Local time in Mackay (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.06.2019 21:00";"18.7";"764.3";"764.8";"1.4";"85";"Wind blowing from the south";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"16.1";"No precipitation";"6";"";"";"";"";
"30.06.2019 18:00";"19.6";"762.9";"763.3";"0.5";"82";"Wind blowing from the south-east";"4";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"16.4";"";"";"";"";"";"";
"30.06.2019 15:00";"22.6";"762.4";"762.8";"-1.5";"64";"Wind blowing from the east-southeast";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.4";"No precipitation";"6";"";"";"";"";
"30.06.2019 12:00";"23.7";"763.9";"764.4";"-1.2";"66";"Wind blowing from the south-east";"7";"";"";"";" ";"";"";"11.8";"";"";"";"";"";"";"";"17.0";"";"";"";"";"";"";
"30.06.2019 09:00";"19.5";"765.1";"765.5";"1.1";"77";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.4";"No precipitation";"24";"";"";"";"";
"30.06.2019 06:00";"13.4";"764.0";"764.5";"0.2";"92";"Wind blowing from the west-southwest";"1";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"12.1";"";"";"";"";"";"";
"30.06.2019 03:00";"12.2";"763.8";"764.2";"-0.4";"91";"Wind blowing from the west";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"600-1000";"";"";"";"10.8";"No precipitation";"6";"";"";"";"";
"30.06.2019 00:00";"12.7";"764.2";"764.7";"-0.8";"90";"Wind blowing from the west-southwest";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"23.5";"";"";"300-600";"";"";"";"11.1";"";"";"";"";"";"";
"29.06.2019 21:00";"13.6";"765.0";"765.4";"1.1";"89";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.8";"No precipitation";"6";"";"";"";"";
"29.06.2019 18:00";"18.4";"763.9";"764.3";"-0.1";"80";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.9";"";"";"";"";"";"";
"29.06.2019 15:00";"22.4";"764.0";"764.5";"-1.7";"64";"Wind blowing from the south-east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.3";"No precipitation";"6";"";"";"";"";
"29.06.2019 12:00";"22.9";"765.7";"766.2";"-1.2";"65";"Wind blowing from the south-east";"7";"";"";"";" ";"";"";"15.2";"";"";"";"";"";"";"";"16.0";"";"";"";"";"";"";
"29.06.2019 09:00";"19.7";"766.9";"767.3";"0.9";"67";"Wind blowing from the south";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.4";"No precipitation";"24";"";"";"";"";
"29.06.2019 06:00";"15.6";"766.0";"766.4";"0.3";"83";"Wind blowing from the south";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.7";"";"";"";"";"";"";
"29.06.2019 03:00";"17.5";"765.7";"766.2";"-1.0";"77";"Wind blowing from the south";"5";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"";"13.4";"No precipitation";"6";"";"";"";"";
