# Weather station Whyalla (airport), Australia, WMO_ID=95664,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=95664&lang=en
#
"Local time in Whyalla (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.06.2019 23:30";"6.0";"766.6";"767.5";"0.2";"86";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"20.1";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"30.06.2019 22:30";"7.4";"766.6";"767.5";"-0.4";"82";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";
"30.06.2019 20:30";"10.5";"766.4";"767.3";"0.0";"73";"Wind blowing from the north";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"5.9";"No precipitation";"6";"";"";"";"";
"30.06.2019 19:30";"9.9";"767.0";"767.9";"0.8";"79";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"30.06.2019 17:30";"11.3";"766.4";"767.3";"0.0";"70";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"6.0";"";"";"";"";"";"";
"30.06.2019 16:30";"13.8";"766.2";"767.1";"-0.7";"59";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"30.06.2019 14:30";"14.8";"766.4";"767.3";"-1.6";"52";"Wind blowing from the north-northwest";"8";"";"";"60%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"5.1";"No precipitation";"6";"";"";"";"";
"30.06.2019 13:30";"14.6";"766.9";"767.8";"-1.8";"54";"Wind blowing from the north-west";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"30.06.2019 11:30";"14.1";"768.0";"768.9";"-0.3";"62";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"4.4";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"30.06.2019 10:30";"12.3";"768.7";"769.6";"1.2";"69";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"30.06.2019 08:30";"7.7";"768.3";"769.2";"1.4";"89";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.0";"0.6";"24";"";"";"";"";
"30.06.2019 07:30";"4.9";"767.5";"768.4";"0.8";"96";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"30.06.2019 05:30";"4.7";"766.9";"767.8";"0.4";"96";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"";"";"";"";"";"";
"30.06.2019 04:30";"5.1";"766.7";"767.6";"0.2";"96";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";
"30.06.2019 02:30";"5.1";"766.5";"767.4";"0.2";"96";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"No precipitation";"6";"";"";"";"";
