# Weather station Launceston (airport), Australia, WMO_ID=95966,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=95966&lang=en
#
"Local time in Launceston (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.06.2019 23:00";"11.0";"743.9";"759.2";"1.1";"76";"Wind blowing from the north-northwest";"11";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"30.06.2019 22:00";"10.6";"743.8";"759.1";"1.2";"77";"Wind blowing from the north";"11";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"30.06.2019 21:00";"9.9";"743.1";"758.4";"0.6";"79";"Wind blowing from the north";"10";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"600-1000";"";"";"";"6.4";"No precipitation";"6";"";"";"";"";
"30.06.2019 20:00";"9.2";"742.8";"758.1";"0.7";"77";"Wind blowing from the north";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"30.06.2019 19:00";"9.3";"742.6";"757.9";"1.0";"76";"Wind blowing from the north";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"30.06.2019 18:00";"8.9";"742.5";"757.8";"1.5";"76";"Wind blowing from the north";"8";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"600-1000";"";"";"";"4.9";"";"";"";"";"";"";
"30.06.2019 17:00";"9.3";"742.1";"757.4";"1.4";"73";"Wind blowing from the north";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"30.06.2019 16:00";"10.0";"741.6";"756.9";"1.4";"67";"Wind blowing from the north-northwest";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";
"30.06.2019 15:00";"10.0";"741.0";"756.2";"1.1";"68";"Wind blowing from the north";"8";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"1000-1500";"";"";"";"4.4";"No precipitation";"6";"";"";"";"";
"30.06.2019 14:00";"9.8";"740.7";"755.9";"0.6";"65";"Wind blowing from the north-west";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"30.06.2019 13:00";"10.2";"740.2";"755.4";"1.4";"58";"Wind blowing from the north-west";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.3";"";"";"";"";"";"";
"30.06.2019 12:00";"10.0";"739.9";"755.1";"1.8";"65";"Wind blowing from the north-northwest";"11";"";"";"100%.";"No significant weather observed. ";"";"";"6.8";"";"";"";"600-1000";"";"";"";"3.7";"";"";"";"";"";"";
"30.06.2019 11:00";"9.0";"740.1";"755.3";"2.5";"68";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.4";"";"";"";"";"";"";
"30.06.2019 10:00";"9.6";"738.8";"754.0";"1.8";"72";"Wind blowing from the north-northwest";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"30.06.2019 09:00";"8.6";"738.1";"753.3";"1.5";"76";"Wind blowing from the north";"9";"";"";"100%.";"No significant weather observed. ";"Precipitation";"Precipitation";"";"";"";"";"1000-1500";"";"";"";"4.6";"9.0";"24";"";"";"";"";
"30.06.2019 08:00";"7.0";"737.6";"752.8";"2.1";"82";"Wind blowing from the north";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"";"";"";"";"";"";
"30.06.2019 07:00";"7.4";"737.0";"752.2";"2.2";"81";"Wind blowing from the north";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"30.06.2019 06:00";"7.4";"736.6";"751.7";"2.2";"86";"Wind blowing from the north";"9";"";"";"60%.";"No significant weather observed. ";"";"Precipitation";"";"";"";"";"2000-2500";"";"";"";"5.2";"";"";"";"";"";"";
"30.06.2019 05:00";"7.6";"735.5";"750.7";"0.1";"83";"Wind blowing from the north";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"30.06.2019 04:00";"7.6";"734.8";"749.9";"-1.2";"88";"Wind blowing from the north";"11";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"30.06.2019 03:00";"7.9";"734.4";"749.5";"-1.9";"89";"Wind blowing from the north";"11";"";"";"100%.";"Rain shower(s) or intermittent rain, slight. ";"Precipitation";"Precipitation";"";"";"";"";"300-600";"";"";"";"6.2";"3.0";"6";"";"";"";"";
"30.06.2019 02:00";"8.5";"735.4";"750.5";"-1.0";"89";"Wind blowing from the north";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"30.06.2019 01:00";"9.0";"736.0";"751.1";"-1.2";"95";"Wind blowing from the north";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.2";"";"";"";"";"";"";
"30.06.2019 00:00";"9.7";"736.3";"751.5";"-1.5";"94";"Wind blowing from the north-northwest";"9";"";"";"90  or more, but not 100%";"Rain shower(s) or intermittent rain, slight. ";"";"Precipitation";"";"13.9";"";"";"200-300";"";"";"";"8.8";"";"";"";"";"";"";
"29.06.2019 23:00";"10.9";"736.4";"751.6";"-2.3";"85";"Wind blowing from the north";"11";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"29.06.2019 22:00";"11.5";"737.2";"752.3";"-2.4";"91";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"29.06.2019 21:00";"12.0";"737.8";"753.1";"-1.8";"85";"Wind blowing from the north";"6";"";"";"100%.";"Drizzle, not freezing, slight. ";"Precipitation";"Precipitation";"";"";"";"";"300-600";"";"";"";"9.6";"3.0";"6";"";"";"";"";
"29.06.2019 20:00";"11.6";"738.7";"754.0";"-1.8";"89";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.9";"";"";"";"";"";"";
"29.06.2019 19:00";"12.2";"739.6";"754.8";"-1.9";"79";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.7";"";"";"";"";"";"";
"29.06.2019 18:00";"12.0";"739.6";"754.9";"-2.7";"82";"Wind blowing from the west-northwest";"3";"";"";"100%.";"Rain (not freezing). ";"";"Precipitation";"";"";"";"";"2000-2500";"";"";"";"9.0";"";"";"";"";"";"";
"29.06.2019 17:00";"11.9";"740.5";"755.7";"-3.0";"83";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"";"";"";"";"";"";
"29.06.2019 16:00";"11.8";"741.5";"756.8";"-2.6";"88";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.9";"";"";"";"";"";"";
