# Weather station Morwell (airport), Australia, WMO_ID=94891,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=94891&lang=en
#
"Local time in Morwell (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.06.2019 23:00";"9.9";"760.6";"765.7";"0.6";"63";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"30.06.2019 21:00";"9.3";"760.3";"765.5";"1.2";"70";"Wind blowing from the west-southwest";"3";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"4.1";"No precipitation";"6";"";"";"";"";
"30.06.2019 20:00";"9.6";"760.0";"765.2";"1.2";"66";"Wind blowing from the west-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.4";"";"";"";"";"";"";
"30.06.2019 18:00";"11.1";"759.1";"764.2";"1.3";"59";"Wind blowing from the north-west";"6";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"3.2";"";"";"";"";"";"";
"30.06.2019 17:00";"11.4";"758.8";"764.0";"1.3";"57";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"30.06.2019 15:00";"12.8";"757.8";"763.0";"0.2";"52";"Wind blowing from the west-northwest";"10";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"3.2";"No precipitation";"6";"";"";"";"";
"30.06.2019 14:00";"12.8";"757.5";"762.7";"-0.4";"52";"Wind blowing from the west-northwest";"12";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"30.06.2019 12:00";"12.2";"757.6";"762.7";"0.6";"52";"Wind blowing from the west-northwest";"11";"";"";"60%.";" ";"";"";"6.6";"";"";"";"1000-1500";"";"";"";"2.6";"";"";"";"";"";"";
"30.06.2019 11:00";"12.0";"757.9";"763.1";"1.4";"58";"Wind blowing from the west";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";
"30.06.2019 09:00";"10.0";"757.0";"762.2";"1.8";"64";"Wind blowing from the west-northwest";"9";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"3.5";"6.0";"24";"";"";"";"";
"30.06.2019 08:00";"8.9";"756.5";"761.7";"1.9";"69";"Wind blowing from the west-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
