# Weather station Portland (airport), Australia, WMO_ID=94828,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=94828&lang=en
#
"Local time in Portland (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.06.2019 23:00";"9.7";"755.6";"763.0";"0.1";"85";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"30.06.2019 21:00";"10.5";"755.5";"762.9";"0.5";"86";"Wind blowing from the north-northwest";"8";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"";"8.3";"No precipitation";"6";"";"";"";"";
"30.06.2019 20:00";"10.5";"755.5";"762.9";"0.5";"86";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"30.06.2019 18:00";"10.7";"755.0";"762.4";"0.4";"85";"Wind blowing from the north-northwest";"7";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"8.3";"";"";"";"";"";"";
"30.06.2019 17:00";"10.9";"755.0";"762.4";"0.6";"84";"Wind blowing from the north-west";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"30.06.2019 15:00";"11.2";"754.6";"762.0";"-0.5";"76";"Wind blowing from the west-northwest";"10";"";"";"70 – 80%.";"Precipitation, slight or moderate. ";"Precipitation";"Precipitation";"";"";"";"";"300-600";"";"";"8.0";"7.1";"2.0";"6";"";"";"";"";
"30.06.2019 14:00";"13.5";"754.4";"761.8";"-0.8";"66";"Wind blowing from the west-northwest";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"30.06.2019 12:00";"11.6";"755.1";"762.5";"0.5";"82";"Wind blowing from the west-northwest";"8";"";"";"100%.";"Precipitation ";"";"Precipitation";"8.1";"";"";"";"600-1000";"";"";"";"8.6";"";"";"";"";"";"";
"30.06.2019 11:00";"9.9";"755.2";"762.7";"1.0";"88";"Wind blowing from the north-west";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"30.06.2019 09:00";"11.1";"754.6";"762.1";"1.5";"67";"Wind blowing from the west";"9";"";"";"60%.";" ";"Precipitation";"Precipitation";"";"";"";"";"1500-2000";"";"";"";"5.2";"18.0";"24";"";"";"";"";
"30.06.2019 08:00";"9.7";"754.2";"761.6";"1.4";"72";"Wind blowing from the west";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"30.06.2019 06:00";"9.8";"753.1";"760.6";"0.6";"72";"Wind blowing from the west";"10";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"";"5.0";"";"";"";"";"";"";
"30.06.2019 05:00";"9.8";"752.8";"760.1";"0.8";"71";"Wind blowing from the west";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"30.06.2019 03:00";"9.2";"752.5";"759.8";"1.4";"70";"Wind blowing from the west";"11";"";"";"100%.";"Precipitation, slight or moderate. ";"Precipitation";"Precipitation";"";"";"";"";"600-1000";"";"";"";"4.0";"2.0";"6";"";"";"";"";
"30.06.2019 02:00";"10.1";"752.0";"759.4";"1.3";"60";"Wind blowing from the west";"11";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.7";"";"";"";"";"";"";
"30.06.2019 00:00";"9.8";"751.1";"758.5";"2.3";"67";"Wind blowing from the west";"12";"";"";"100%.";"Precipitation ";"";"Precipitation";"";"";"";"";"1000-1500";"";"";"";"3.8";"";"";"";"";"";"";
"29.06.2019 23:00";"9.0";"750.7";"758.0";"3.3";"83";"Wind blowing from the west";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"29.06.2019 21:00";"10.5";"748.8";"756.1";"2.6";"79";"Wind blowing from the west";"12";"";"";"100%.";"Precipitation ";"Precipitation";"Precipitation";"";"";"";"";"600-1000";"";"";"";"7.0";"6.0";"6";"";"";"";"";
"29.06.2019 20:00";"10.7";"747.4";"754.8";"1.5";"85";"Wind blowing from the west";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"29.06.2019 18:00";"9.2";"746.2";"753.6";"1.0";"90";"Wind blowing from the north-west";"7";"";"";"100%.";"Precipitation ";"";"Precipitation";"";"";"";"";"300-600";"";"";"";"7.6";"";"";"";"";"";"";
"29.06.2019 17:00";"9.0";"745.9";"753.3";"0.6";"89";"Wind blowing from the north-west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
