obs_date,hour,minute,curr_temp,demand,spot_price
2018/12/31,23,0,22.8,7901.73,78.06
2018/12/31,23,30,22.8,7720.44,71.25
2018/12/31,22,0,23.8,8053.74,79.03
2018/12/31,22,30,23.8,8043.91,77.89
2018/12/31,21,0,24.7,8059.32,83.52
2018/12/31,21,30,24.7,8138.32,92.17
2018/12/31,20,0,23.4,8371.98,68.12
2018/12/31,20,30,23.4,8151.07,80.3
2018/12/31,19,0,22.8,8717.12,65.35
2018/12/31,19,30,22.8,8499.08,65.44
2018/12/31,18,0,23.2,9350.02,79.6
2018/12/31,18,30,23.2,8957.53,73.05
2018/12/31,17,0,24.1,10114.79,87.23
2018/12/31,17,30,24.1,9734.04,78.95
2018/12/31,16,0,26.0,10537.41,96.93
2018/12/31,16,30,26.0,10336.37,87.71
2018/12/31,15,0,28.6,10626.82,88.87
2018/12/31,15,30,28.6,10650.54,98.66
2018/12/31,14,0,29.1,10340.55,93.41
2018/12/31,14,30,29.1,10552.14,102.22
2018/12/31,13,0,28.9,10159.68,95.84
2018/12/31,13,30,28.9,10265.94,89.45
2018/12/31,12,0,30.5,9730.98,98.47
2018/12/31,12,30,30.5,9968.04,102.46
2018/12/31,11,0,31.6,9279.25,101.28
2018/12/31,11,30,31.6,9493.63,91.22
2018/12/31,10,0,29.6,8890.89,82.63
2018/12/31,10,30,29.6,9005.86,80.98
2018/12/31,9,0,27.8,8652.78,89.12
2018/12/31,9,30,27.8,8749.07,89.82
2018/12/31,8,0,27.2,8117.81,81.74
2018/12/31,8,30,27.2,8463.78,84.54
2018/12/31,7,0,25.0,7585.88,84.61
2018/12/31,7,30,25.0,7847.52,82.79
2018/12/31,6,0,22.6,7065.18,82.07
2018/12/31,6,30,22.6,7279.11,80.82
2018/12/31,5,0,21.9,6631.21,72.08
2018/12/31,5,30,21.9,6837.35,77.47
2018/12/31,4,0,21.6,6477.92,68.21
2018/12/31,4,30,21.6,6578.35,67.54
2018/12/31,3,0,21.9,6521.64,69.33
2018/12/31,3,30,21.9,6517.98,69.33
2018/12/31,2,0,22.3,6698.99,74.31
2018/12/31,2,30,22.3,6557.32,71.54
2018/12/31,1,0,21.8,7133.3,81.7
2018/12/31,1,30,21.8,6865.45,78.85
