obs_date,hour,minute,curr_temp,demand,spot_price
2018/12/31,22,0,24.7,6663.5,76.34
2018/12/31,22,30,24.7,6599.79,77.57
2018/12/31,21,0,24.9,6830.41,83.4
2018/12/31,21,30,24.9,6757.8,89.53
2018/12/31,19,0,25.1,7286.21,78.44
2018/12/31,19,30,25.1,7273.76,74.03
2018/12/31,18,0,25.8,7482.15,86.16
2018/12/31,18,30,25.8,7359.43,84.44
2018/12/31,16,0,27.5,7073.87,90.94
2018/12/31,16,30,27.5,7273.68,85.75
2018/12/31,15,0,28.7,6657.74,77.96
2018/12/31,15,30,28.7,6857.73,88.22
2018/12/31,13,0,29.1,6276.91,81.55
2018/12/31,13,30,29.1,6285.93,75.92
2018/12/31,12,0,28.6,6167.46,81.9
2018/12/31,12,30,28.6,6222.1,86.0
2018/12/31,10,0,26.1,6191.57,71.44
2018/12/31,10,30,26.1,6229.43,69.73
2018/12/31,9,0,27.3,6178.73,79.3
2018/12/31,9,30,27.3,6141.84,77.49
2018/12/31,7,0,25.8,5793.32,76.05
2018/12/31,7,30,25.8,5938.84,72.55
2018/12/31,6,0,24.7,5598.9,74.14
2018/12/31,6,30,24.7,5695.81,73.47
2018/12/31,4,0,23.5,5439.74,63.46
2018/12/31,4,30,23.5,5455.91,62.87
2018/12/31,3,0,23.8,5467.64,64.59
2018/12/31,3,30,23.8,5452.84,64.24
2018/12/31,1,0,23.8,5676.96,74.85
2018/12/31,1,30,23.8,5558.88,72.19
2018/12/31,0,0,24.1,5999.91,71.86
2018/12/31,0,30,24.1,5854.8,75.21
2018/12/30,22,0,24.4,6756.74,76.68
2018/12/30,22,30,24.4,6620.89,71.93
2018/12/30,21,0,24.6,7099.05,89.07
2018/12/30,21,30,24.6,6907.7,78.27
2018/12/30,19,0,25.0,7403.71,84.75
2018/12/30,19,30,25.0,7460.45,88.65
2018/12/30,18,0,25.9,7362.82,97.86
2018/12/30,18,30,25.9,7337.09,84.5
2018/12/30,16,0,27.6,6737.37,89.22
2018/12/30,16,30,27.6,6944.14,101.13
2018/12/30,15,0,27.7,6352.33,90.95
2018/12/30,15,30,27.7,6541.28,94.17
2018/12/30,13,0,28.0,5976.33,70.44
2018/12/30,13,30,28.0,6079.49,80.43
2018/12/30,12,0,28.2,5859.96,66.14
2018/12/30,12,30,28.2,5922.97,65.48
2018/12/30,10,0,27.7,5742.38,63.97
2018/12/30,10,30,27.7,5789.58,62.75
2018/12/30,9,0,27.8,5671.22,65.63
2018/12/30,9,30,27.8,5704.91,67.05
2018/12/30,7,0,26.2,5500.49,53.6
2018/12/30,7,30,26.2,5534.43,49.55
2018/12/30,6,0,25.5,5426.2,50.89
2018/12/30,6,30,25.5,5446.93,58.07
2018/12/30,4,0,24.3,5498.26,52.35
2018/12/30,4,30,24.3,5472.86,60.1
2018/12/30,3,0,24.1,5501.8,60.39
2018/12/30,3,30,24.1,5525.07,56.04
2018/12/30,1,0,24.5,5743.66,63.28
2018/12/30,1,30,24.5,5669.32,63.95
2018/12/30,0,0,24.7,6018.37,65.85
2018/12/30,0,30,24.7,5895.57,61.5
2018/12/29,22,0,25.0,6740.99,74.45
2018/12/29,22,30,25.0,6449.58,75.27
2018/12/29,21,0,25.1,7020.39,81.58
2018/12/29,21,30,25.1,6854.47,76.72
2018/12/29,19,0,24.9,7264.25,84.35
2018/12/29,19,30,24.9,7333.91,97.89
2018/12/29,18,0,25.8,7179.76,105.84
2018/12/29,18,30,25.8,7184.85,84.92
2018/12/29,16,0,27.3,6559.34,83.25
2018/12/29,16,30,27.3,6770.98,99.79
2018/12/29,15,0,27.3,6194.67,77.22
2018/12/29,15,30,27.3,6355.04,90.64
2018/12/29,13,0,28.3,5759.62,63.08
2018/12/29,13,30,28.3,5848.01,86.13
2018/12/29,12,0,27.9,5613.97,56.95
2018/12/29,12,30,27.9,5666.38,58.71
2018/12/29,10,0,27.6,5628.73,53.0
2018/12/29,10,30,27.6,5605.21,54.37
2018/12/29,9,0,27.7,5677.23,59.73
2018/12/29,9,30,27.7,5621.0,40.87
2018/12/29,7,0,23.7,5397.96,35.04
2018/12/29,7,30,23.7,5479.08,62.58
2018/12/29,6,0,22.5,5347.37,45.79
2018/12/29,6,30,22.5,5355.14,50.18
2018/12/29,4,0,22.0,5306.96,55.74
2018/12/29,4,30,22.0,5341.54,54.44
2018/12/29,3,0,22.8,5386.29,35.88
2018/12/29,3,30,22.8,5345.54,44.04
2018/12/29,1,0,23.2,5638.42,62.58
2018/12/29,1,30,23.2,5494.2,59.33
2018/12/29,0,0,23.3,5936.66,65.1
2018/12/29,0,30,23.3,5796.95,66.07
2018/12/28,22,0,23.6,6647.04,73.27
2018/12/28,22,30,23.6,6509.57,71.69
2018/12/28,21,0,23.6,6971.68,83.7
2018/12/28,21,30,23.6,6793.99,79.74
2018/12/28,19,0,24.5,7196.31,108.76
2018/12/28,19,30,24.5,7224.3,97.57
2018/12/28,18,0,24.9,7192.43,129.83
2018/12/28,18,30,24.9,7100.25,96.73
2018/12/28,16,0,26.7,6791.67,113.12
2018/12/28,16,30,26.7,6995.2,95.32
2018/12/28,15,0,26.8,6421.95,82.17
2018/12/28,15,30,26.8,6626.43,93.45
2018/12/28,13,0,27.3,5959.78,63.31
2018/12/28,13,30,27.3,6103.27,92.64
2018/12/28,12,0,27.7,5872.02,60.18
2018/12/28,12,30,27.7,5902.65,69.61
2018/12/28,10,0,27.1,5965.16,63.13
2018/12/28,10,30,27.1,5918.39,59.76
2018/12/28,9,0,26.3,5986.4,67.02
2018/12/28,9,30,26.3,5993.0,69.79
2018/12/28,7,0,23.9,5659.73,59.32
2018/12/28,7,30,23.9,5791.41,58.99
2018/12/28,6,0,21.5,5507.16,64.03
2018/12/28,6,30,21.5,5640.97,68.87
2018/12/28,4,0,21.0,5347.89,52.23
2018/12/28,4,30,21.0,5385.7,57.86
2018/12/28,3,0,20.9,5360.01,49.42
2018/12/28,3,30,20.9,5323.96,46.8
2018/12/28,1,0,21.8,5588.57,63.07
2018/12/28,1,30,21.8,5477.35,62.17
2018/12/28,0,0,22.6,5910.26,61.28
2018/12/28,0,30,22.6,5752.92,60.43
2018/12/27,22,0,23.0,6553.3,59.23
2018/12/27,22,30,23.0,6458.63,73.15
2018/12/27,21,0,23.1,6970.05,66.57
2018/12/27,21,30,23.1,6809.11,64.07
2018/12/27,19,0,23.6,7282.71,101.1
2018/12/27,19,30,23.6,7281.64,80.67
2018/12/27,18,0,24.7,7221.82,132.25
2018/12/27,18,30,24.7,7192.76,99.26
2018/12/27,16,0,26.0,6636.66,98.52
2018/12/27,16,30,26.0,6827.95,73.19
2018/12/27,15,0,26.7,6217.21,69.0
2018/12/27,15,30,26.7,6406.7,83.21
2018/12/27,13,0,26.7,5790.86,60.83
2018/12/27,13,30,26.7,5851.44,61.63
2018/12/27,12,0,26.7,5712.69,59.41
2018/12/27,12,30,26.7,5726.78,59.22
2018/12/27,10,0,26.0,5812.9,68.08
2018/12/27,10,30,26.0,5817.5,64.57
2018/12/27,9,0,25.5,5715.82,66.38
2018/12/27,9,30,25.5,5805.1,69.6
2018/12/27,7,0,23.6,5448.39,47.01
2018/12/27,7,30,23.6,5532.41,51.94
2018/12/27,6,0,22.0,5360.43,46.11
2018/12/27,6,30,22.0,5429.74,43.41
2018/12/27,4,0,20.4,5201.73,49.83
2018/12/27,4,30,20.4,5242.15,49.18
2018/12/27,3,0,20.2,5196.59,50.54
2018/12/27,3,30,20.2,5205.11,53.3
2018/12/27,1,0,22.5,5379.15,56.38
2018/12/27,1,30,22.5,5311.65,55.23
2018/12/27,0,0,22.5,5621.06,66.0
2018/12/27,0,30,22.5,5529.63,58.54
2018/12/26,22,0,22.3,6245.17,62.56
2018/12/26,22,30,22.3,6117.86,66.08
2018/12/26,21,0,22.7,6489.71,73.38
2018/12/26,21,30,22.7,6358.52,66.54
2018/12/26,19,0,23.4,6676.3,113.02
2018/12/26,19,30,23.4,6747.72,87.42
2018/12/26,18,0,24.1,6540.8,110.78
2018/12/26,18,30,24.1,6593.33,117.16
2018/12/26,16,0,26.0,5832.88,71.78
2018/12/26,16,30,26.0,6103.57,69.99
2018/12/26,15,0,26.8,5436.15,57.8
2018/12/26,15,30,26.8,5613.3,64.23
2018/12/26,13,0,26.2,5014.27,27.01
2018/12/26,13,30,26.2,5051.88,38.44
2018/12/26,12,0,26.7,4963.26,29.18
2018/12/26,12,30,26.7,4960.65,21.92
2018/12/26,10,0,24.6,5056.83,17.09
2018/12/26,10,30,24.6,5041.08,15.27
2018/12/26,9,0,25.1,5062.86,13.86
2018/12/26,9,30,25.1,5095.63,41.28
2018/12/26,7,0,21.8,4844.16,13.54
2018/12/26,7,30,21.8,4897.3,19.13
2018/12/26,6,0,19.3,4771.79,12.65
2018/12/26,6,30,19.3,4805.22,17.77
2018/12/26,4,0,18.0,4816.95,25.66
2018/12/26,4,30,18.0,4821.12,29.38
2018/12/26,3,0,17.7,4820.74,17.21
2018/12/26,3,30,17.7,4805.72,22.09
2018/12/26,1,0,21.8,5021.21,40.27
2018/12/26,1,30,21.8,4957.84,40.78
2018/12/26,0,0,21.8,5355.02,42.94
2018/12/26,0,30,21.8,5162.71,25.3
2018/12/25,22,0,22.6,5855.68,50.35
2018/12/25,22,30,22.6,5805.92,56.57
2018/12/25,21,0,22.3,6019.74,59.58
2018/12/25,21,30,22.3,5961.17,55.08
2018/12/25,19,0,23.0,6066.82,62.24
2018/12/25,19,30,23.0,6130.52,62.38
2018/12/25,18,0,23.9,6063.56,66.72
2018/12/25,18,30,23.9,6018.77,63.87
2018/12/25,16,0,26.1,5430.35,58.54
2018/12/25,16,30,26.1,5655.84,59.1
2018/12/25,15,0,26.2,5156.36,38.87
2018/12/25,15,30,26.2,5281.86,48.43
2018/12/25,13,0,25.4,4892.21,0.04
2018/12/25,13,30,25.4,4922.62,12.9
2018/12/25,12,0,26.1,4937.49,-37.23
2018/12/25,12,30,26.1,4951.2,11.23
2018/12/25,10,0,24.8,5032.15,8.03
2018/12/25,10,30,24.8,5019.29,7.82
2018/12/25,9,0,25.0,4947.44,-1.97
2018/12/25,9,30,25.0,4969.41,-185.46
2018/12/25,7,0,21.9,4902.57,21.86
2018/12/25,7,30,21.9,4945.32,16.46
2018/12/25,6,0,18.9,4818.88,24.61
2018/12/25,6,30,18.9,4880.77,26.32
2018/12/25,4,0,17.5,4796.26,31.3
2018/12/25,4,30,17.5,4807.78,28.48
2018/12/25,3,0,18.0,4828.98,29.37
2018/12/25,3,30,18.0,4820.45,32.49
2018/12/25,1,0,20.0,5150.17,44.52
2018/12/25,1,30,20.0,5032.49,39.47
2018/12/25,0,0,22.0,5515.12,44.48
2018/12/25,0,30,22.0,5311.99,43.48
2018/12/24,22,0,22.7,6134.44,44.12
2018/12/24,22,30,22.7,6021.0,49.36
2018/12/24,21,0,22.7,6343.02,52.28
2018/12/24,21,30,22.7,6247.94,48.45
2018/12/24,19,0,23.1,6671.89,59.89
2018/12/24,19,30,23.1,6628.55,59.08
2018/12/24,18,0,23.7,6659.55,58.71
2018/12/24,18,30,23.7,6624.47,58.61
2018/12/24,16,0,25.4,6209.45,58.07
2018/12/24,16,30,25.4,6379.65,56.71
2018/12/24,15,0,26.1,5935.22,53.29
2018/12/24,15,30,26.1,6031.41,54.79
2018/12/24,13,0,25.4,5784.74,53.72
