obs_date,hour,minute,curr_temp,demand,spot_price
2018/12/31,23,0,17.7,1312.9,80.2
2018/12/31,23,30,17.7,1313.37,76.52
2018/12/31,22,0,17.7,1325.86,81.52
2018/12/31,22,30,17.7,1323.9,78.72
2018/12/31,21,0,18.7,1365.26,83.97
2018/12/31,21,30,18.7,1340.14,94.88
2018/12/31,20,0,20.4,1377.26,68.54
2018/12/31,20,30,20.4,1359.2,78.61
2018/12/31,19,0,21.5,1420.85,65.58
2018/12/31,19,30,21.5,1403.79,67.46
2018/12/31,18,0,24.4,1371.24,75.77
2018/12/31,18,30,24.4,1415.15,71.38
2018/12/31,17,0,25.1,1314.83,93.17
2018/12/31,17,30,25.1,1357.77,79.87
2018/12/31,16,0,25.0,1195.63,108.06
2018/12/31,16,30,25.0,1247.79,93.94
2018/12/31,15,0,24.0,1102.9,100.44
2018/12/31,15,30,24.0,1146.73,110.31
2018/12/31,14,0,25.7,1034.28,106.0
2018/12/31,14,30,25.7,1042.22,115.83
2018/12/31,13,0,24.2,958.13,105.39
2018/12/31,13,30,24.2,1001.93,102.11
2018/12/31,12,0,24.3,929.32,114.15
2018/12/31,12,30,24.3,938.08,114.76
2018/12/31,11,0,23.1,897.49,120.38
2018/12/31,11,30,23.1,921.51,108.17
2018/12/31,10,0,22.8,918.13,99.07
2018/12/31,10,30,22.8,922.43,95.98
2018/12/31,9,0,22.6,1000.51,106.36
2018/12/31,9,30,22.6,935.97,109.54
2018/12/31,8,0,22.3,1129.87,115.08
2018/12/31,8,30,22.3,1087.73,115.33
2018/12/31,7,0,21.6,1169.14,111.3
2018/12/31,7,30,21.6,1179.79,112.75
2018/12/31,6,0,18.9,1098.11,98.12
2018/12/31,6,30,18.9,1126.72,99.92
2018/12/31,5,0,16.1,1079.15,86.99
2018/12/31,5,30,16.1,1066.13,89.59
2018/12/31,4,0,15.9,1039.6,77.37
2018/12/31,4,30,15.9,1041.34,78.26
2018/12/31,3,0,16.7,1079.8,80.3
2018/12/31,3,30,16.7,1063.94,79.95
2018/12/31,2,0,16.2,1135.14,92.18
2018/12/31,2,30,16.2,1076.7,84.88
2018/12/31,1,0,16.6,1223.02,101.97
2018/12/31,1,30,16.6,1159.7,96.35
2018/12/31,0,0,17.2,1355.78,128.38
2018/12/31,0,30,17.2,1294.14,102.22
2018/12/30,23,0,17.4,1210.5,88.88
2018/12/30,23,30,17.4,1186.27,100.23
2018/12/30,22,0,17.5,1265.4,86.15
2018/12/30,22,30,17.5,1220.87,81.28
2018/12/30,21,0,18.3,1362.14,95.33
2018/12/30,21,30,18.3,1326.01,84.62
2018/12/30,20,0,19.2,1346.26,111.77
2018/12/30,20,30,19.2,1367.72,98.84
2018/12/30,19,0,19.7,1392.66,84.09
2018/12/30,19,30,19.7,1372.93,90.53
2018/12/30,18,0,22.4,1312.55,102.64
2018/12/30,18,30,22.4,1367.69,83.03
2018/12/30,17,0,24.3,1169.36,146.42
2018/12/30,17,30,24.3,1244.69,124.64
2018/12/30,16,0,25.1,972.65,103.9
2018/12/30,16,30,25.1,1093.45,119.32
2018/12/30,15,0,27.6,903.45,119.35
2018/12/30,15,30,27.6,949.03,117.59
2018/12/30,14,0,27.7,831.55,124.13
2018/12/30,14,30,27.7,934.4,122.65
2018/12/30,13,0,27.8,804.73,112.34
2018/12/30,13,30,27.8,833.65,115.15
2018/12/30,12,0,26.8,786.75,102.99
2018/12/30,12,30,26.8,807.44,102.78
2018/12/30,11,0,25.5,770.58,120.47
2018/12/30,11,30,25.5,812.12,135.23
2018/12/30,10,0,24.9,796.19,102.02
2018/12/30,10,30,24.9,794.03,104.61
2018/12/30,9,0,23.6,875.56,90.08
2018/12/30,9,30,23.6,839.62,93.99
2018/12/30,8,0,22.5,949.56,74.25
2018/12/30,8,30,22.5,912.72,80.08
2018/12/30,7,0,21.3,1015.96,71.06
2018/12/30,7,30,21.3,1000.26,65.07
2018/12/30,6,0,18.6,1020.77,65.98
2018/12/30,6,30,18.6,1018.27,74.12
2018/12/30,5,0,17.6,1041.63,71.95
2018/12/30,5,30,17.6,1049.68,83.2
2018/12/30,4,0,17.5,1019.62,71.1
2018/12/30,4,30,17.5,1020.92,78.73
2018/12/30,3,0,18.2,1042.23,97.67
2018/12/30,3,30,18.2,1014.47,80.33
2018/12/30,2,0,18.6,1090.68,95.98
2018/12/30,2,30,18.6,1074.82,98.33
2018/12/30,1,0,18.8,1278.06,89.28
2018/12/30,1,30,18.8,1160.09,91.98
2018/12/30,0,0,19.1,1464.91,112.4
2018/12/30,0,30,19.1,1374.02,79.4
2018/12/29,23,0,19.5,1328.57,80.81
2018/12/29,23,30,19.5,1299.42,81.07
2018/12/29,22,0,19.6,1398.64,95.3
2018/12/29,22,30,19.6,1361.17,95.6
2018/12/29,21,0,20.5,1475.26,110.12
2018/12/29,21,30,20.5,1445.96,99.39
2018/12/29,20,0,22.7,1496.41,126.96
2018/12/29,20,30,22.7,1490.22,102.87
2018/12/29,19,0,23.8,1472.2,93.79
2018/12/29,19,30,23.8,1510.18,111.88
2018/12/29,18,0,25.9,1460.59,126.23
2018/12/29,18,30,25.9,1452.04,97.35
2018/12/29,17,0,24.3,1429.83,129.71
2018/12/29,17,30,24.3,1482.46,124.43
2018/12/29,16,0,24.5,1371.19,98.92
2018/12/29,16,30,24.5,1399.37,121.98
2018/12/29,15,0,25.1,1240.62,94.2
2018/12/29,15,30,25.1,1350.91,111.33
2018/12/29,14,0,27.4,1206.74,96.34
2018/12/29,14,30,27.4,1272.46,89.12
2018/12/29,13,0,29.8,1214.21,153.26
2018/12/29,13,30,29.8,1173.5,206.4
2018/12/29,12,0,28.3,1266.06,112.58
2018/12/29,12,30,28.3,1297.08,109.6
2018/12/29,11,0,27.8,1290.94,84.17
2018/12/29,11,30,27.8,1271.3,91.49
2018/12/29,10,0,26.7,1265.45,131.91
2018/12/29,10,30,26.7,1293.44,112.72
2018/12/29,9,0,26.1,1307.35,139.94
2018/12/29,9,30,26.1,1306.59,144.85
2018/12/29,8,0,25.2,1263.55,113.1
2018/12/29,8,30,25.2,1294.91,118.46
2018/12/29,7,0,25.2,1277.02,188.68
2018/12/29,7,30,25.2,1281.06,158.88
2018/12/29,6,0,24.3,1197.7,135.13
2018/12/29,6,30,24.3,1233.88,252.61
2018/12/29,5,0,24.2,1168.23,70.5
2018/12/29,5,30,24.2,1183.77,85.01
2018/12/29,4,0,23.6,1207.73,124.34
2018/12/29,4,30,23.6,1181.73,104.37
2018/12/29,3,0,24.5,1184.26,47.41
2018/12/29,3,30,24.5,1202.11,60.05
2018/12/29,2,0,26.3,1305.8,91.28
2018/12/29,2,30,26.3,1281.55,71.87
2018/12/29,1,0,24.9,1485.0,84.86
2018/12/29,1,30,24.9,1386.49,92.58
2018/12/29,0,0,25.3,1689.34,84.37
2018/12/29,0,30,25.3,1545.96,90.76
2018/12/28,23,0,24.9,1523.24,74.28
2018/12/28,23,30,24.9,1509.75,75.77
2018/12/28,22,0,24.5,1611.78,88.18
2018/12/28,22,30,24.5,1562.1,83.36
2018/12/28,21,0,25.3,1690.18,86.61
2018/12/28,21,30,25.3,1657.32,88.72
2018/12/28,20,0,26.1,1726.52,103.18
2018/12/28,20,30,26.1,1711.31,84.7
2018/12/28,19,0,26.6,1919.81,123.22
2018/12/28,19,30,26.6,1841.07,113.21
2018/12/28,18,0,27.9,2060.9,150.17
2018/12/28,18,30,27.9,1992.98,111.58
2018/12/28,17,0,30.1,2001.4,186.5
2018/12/28,17,30,30.1,2086.95,210.27
2018/12/28,16,0,27.8,2026.66,181.49
2018/12/28,16,30,27.8,1985.18,116.48
2018/12/28,15,0,30.8,1964.03,215.15
2018/12/28,15,30,30.8,2043.99,254.04
2018/12/28,14,0,28.6,1733.98,106.32
2018/12/28,14,30,28.6,1809.37,214.33
2018/12/28,13,0,30.0,1999.87,109.89
2018/12/28,13,30,30.0,1873.39,113.9
2018/12/28,12,0,25.2,1947.06,152.39
2018/12/28,12,30,25.2,1946.71,113.95
2018/12/28,11,0,34.7,1682.32,130.26
2018/12/28,11,30,34.7,1800.67,122.4
2018/12/28,10,0,33.4,1644.05,136.61
2018/12/28,10,30,33.4,1597.57,136.43
2018/12/28,9,0,24.3,1625.02,99.22
2018/12/28,9,30,24.3,1768.67,146.88
2018/12/28,8,0,24.1,1556.8,93.53
2018/12/28,8,30,24.1,1572.71,94.56
2018/12/28,7,0,25.5,1544.43,80.07
2018/12/28,7,30,25.5,1562.14,82.24
2018/12/28,6,0,24.1,1489.39,80.56
2018/12/28,6,30,24.1,1523.86,88.67
2018/12/28,5,0,23.7,1415.48,66.05
2018/12/28,5,30,23.7,1456.85,74.02
2018/12/28,4,0,24.0,1404.91,55.94
2018/12/28,4,30,24.0,1399.52,63.89
2018/12/28,3,0,22.3,1411.09,56.48
2018/12/28,3,30,22.3,1403.65,49.25
2018/12/28,2,0,23.8,1459.74,71.51
2018/12/28,2,30,23.8,1456.64,69.08
2018/12/28,1,0,24.0,1561.9,80.55
2018/12/28,1,30,24.0,1491.59,74.84
2018/12/28,0,0,27.6,1783.18,120.77
2018/12/28,0,30,27.6,1666.94,88.83
2018/12/27,23,0,28.0,1716.18,83.71
2018/12/27,23,30,28.0,1638.87,78.86
2018/12/27,22,0,28.2,1844.89,90.76
2018/12/27,22,30,28.2,1782.03,87.11
2018/12/27,21,0,27.3,1966.84,104.02
2018/12/27,21,30,27.3,1911.03,87.41
2018/12/27,20,0,27.9,2046.98,105.16
2018/12/27,20,30,27.9,2019.71,115.1
2018/12/27,19,0,26.1,2196.03,112.51
2018/12/27,19,30,26.1,2116.97,101.28
2018/12/27,18,0,28.0,2223.93,160.33
2018/12/27,18,30,28.0,2248.85,114.55
2018/12/27,17,0,28.5,2171.72,126.37
2018/12/27,17,30,28.5,2196.98,121.1
2018/12/27,16,0,27.8,2136.89,132.7
2018/12/27,16,30,27.8,2171.29,118.37
2018/12/27,15,0,31.4,1976.39,129.92
2018/12/27,15,30,31.4,2051.29,214.8
2018/12/27,14,0,31.2,1968.35,159.54
2018/12/27,14,30,31.2,2034.86,173.4
2018/12/27,13,0,29.4,1911.7,163.71
2018/12/27,13,30,29.4,1956.98,126.87
2018/12/27,12,0,35.3,1781.97,93.5
2018/12/27,12,30,35.3,1842.87,112.56
2018/12/27,11,0,34.1,1621.57,85.54
2018/12/27,11,30,34.1,1712.84,90.64
2018/12/27,10,0,32.4,1488.26,93.21
2018/12/27,10,30,32.4,1560.36,87.57
2018/12/27,9,0,30.6,1404.38,89.69
2018/12/27,9,30,30.6,1414.98,92.73
2018/12/27,8,0,31.4,1283.75,71.64
2018/12/27,8,30,31.4,1369.61,82.29
2018/12/27,7,0,29.1,1247.89,51.0
2018/12/27,7,30,29.1,1254.41,57.52
2018/12/27,6,0,22.3,1223.74,49.45
2018/12/27,6,30,22.3,1211.19,46.21
2018/12/27,5,0,17.2,1207.72,48.65
2018/12/27,5,30,17.2,1202.28,49.78
2018/12/27,4,0,18.0,1209.41,57.92
2018/12/27,4,30,18.0,1208.85,55.25
2018/12/27,3,0,19.6,1267.64,63.02
2018/12/27,3,30,19.6,1243.4,64.74
2018/12/27,2,0,19.3,1320.51,72.37
2018/12/27,2,30,19.3,1295.08,67.8
2018/12/27,1,0,21.7,1466.27,77.65
2018/12/27,1,30,21.7,1371.88,76.03
2018/12/27,0,0,20.8,1649.33,97.74
2018/12/27,0,30,20.8,1522.82,76.17
2018/12/26,23,0,21.6,1581.91,73.15
2018/12/26,23,30,21.6,1528.81,76.33
2018/12/26,22,0,22.4,1720.95,77.35
2018/12/26,22,30,22.4,1632.87,77.14
2018/12/26,21,0,25.6,1900.97,98.35
2018/12/26,21,30,25.6,1827.03,83.96
2018/12/26,20,0,26.7,2011.37,146.09
2018/12/26,20,30,26.7,1936.12,119.04
2018/12/26,19,0,28.0,2114.87,287.59
2018/12/26,19,30,28.0,2093.75,189.97
2018/12/26,18,0,30.5,2031.02,200.78
2018/12/26,18,30,30.5,2078.73,241.83
2018/12/26,17,0,30.6,1918.88,128.51
2018/12/26,17,30,30.6,1962.43,130.59
2018/12/26,16,0,31.9,1767.63,118.38
2018/12/26,16,30,31.9,1845.78,124.26
2018/12/26,15,0,31.3,1626.45,116.86
2018/12/26,15,30,31.3,1702.08,130.56
2018/12/26,14,0,29.2,1455.38,104.61
2018/12/26,14,30,29.2,1566.22,120.09
2018/12/26,13,0,32.0,1349.06,95.11
2018/12/26,13,30,32.0,1390.61,99.56
2018/12/26,12,0,27.5,1269.4,78.84
2018/12/26,12,30,27.5,1281.5,79.38
2018/12/26,11,0,26.2,1163.78,90.38
2018/12/26,11,30,26.2,1212.6,110.69
2018/12/26,10,0,26.5,1134.6,72.47
2018/12/26,10,30,26.5,1156.0,78.53
2018/12/26,9,0,24.6,1105.55,62.16
2018/12/26,9,30,24.6,1108.28,62.74
2018/12/26,8,0,24.1,1069.61,34.41
2018/12/26,8,30,24.1,1064.81,41.74
2018/12/26,7,0,24.5,1081.58,16.45
2018/12/26,7,30,24.5,1084.89,28.69
2018/12/26,6,0,21.9,1052.22,14.94
2018/12/26,6,30,21.9,1064.28,21.1
2018/12/26,5,0,17.7,1066.72,31.77
2018/12/26,5,30,17.7,1055.37,31.94
2018/12/26,4,0,17.1,1059.71,29.44
2018/12/26,4,30,17.1,1050.23,33.58
2018/12/26,3,0,17.3,1076.19,19.79
2018/12/26,3,30,17.3,1061.8,25.37
2018/12/26,2,0,17.9,1122.68,50.49
2018/12/26,2,30,17.9,1100.29,33.9
2018/12/26,1,0,17.9,1240.66,49.76
2018/12/26,1,30,17.9,1163.12,49.47
2018/12/26,0,0,20.8,1444.72,56.46
2018/12/26,0,30,20.8,1316.6,31.7
2018/12/25,23,0,21.8,1359.98,61.9
2018/12/25,23,30,21.8,1320.0,61.36
2018/12/25,22,0,22.3,1478.19,57.05
2018/12/25,22,30,22.3,1404.92,64.2
2018/12/25,21,0,23.8,1605.87,71.66
2018/12/25,21,30,23.8,1547.5,64.01
2018/12/25,20,0,24.6,1682.11,72.75
2018/12/25,20,30,24.6,1652.0,76.92
2018/12/25,19,0,25.9,1754.41,77.1
2018/12/25,19,30,25.9,1732.97,75.26
2018/12/25,18,0,31.7,1676.07,99.99
2018/12/25,18,30,31.7,1703.26,84.14
2018/12/25,17,0,29.2,1536.14,104.8
2018/12/25,17,30,29.2,1631.93,112.23
2018/12/25,16,0,30.9,1357.77,94.02
2018/12/25,16,30,30.9,1441.18,90.27
2018/12/25,15,0,28.8,1215.33,70.24
2018/12/25,15,30,28.8,1268.16,76.14
2018/12/25,14,0,28.6,1128.69,62.5
2018/12/25,14,30,28.6,1159.41,64.24
2018/12/25,13,0,28.2,1138.5,39.09
2018/12/25,13,30,28.2,1111.71,57.02
2018/12/25,12,0,27.4,1124.58,60.99
2018/12/25,12,30,27.4,1138.77,37.26
2018/12/25,11,0,27.5,1114.75,80.97
2018/12/25,11,30,27.5,1118.17,64.78
2018/12/25,10,0,27.4,1074.2,78.55
2018/12/25,10,30,27.4,1070.83,98.09
2018/12/25,9,0,25.5,1054.13,58.74
2018/12/25,9,30,25.5,1045.06,61.46
2018/12/25,8,0,23.7,1082.96,39.21
2018/12/25,8,30,23.7,1073.64,50.0
2018/12/25,7,0,23.5,1118.14,32.9
2018/12/25,7,30,23.5,1118.16,39.1
2018/12/25,6,0,21.3,1121.94,36.01
2018/12/25,6,30,21.3,1104.58,37.86
2018/12/25,5,0,16.1,1091.13,38.73
2018/12/25,5,30,16.1,1100.1,40.56
2018/12/25,4,0,15.9,1110.0,44.53
2018/12/25,4,30,15.9,1098.57,40.24
2018/12/25,3,0,16.7,1136.35,40.61
2018/12/25,3,30,16.7,1126.14,45.77
2018/12/25,2,0,17.0,1200.44,47.37
2018/12/25,2,30,17.0,1155.68,41.44
2018/12/25,1,0,17.6,1357.98,71.16
2018/12/25,1,30,17.6,1252.61,61.28
2018/12/25,0,0,20.0,1565.45,113.34
2018/12/25,0,30,20.0,1461.38,71.97
2018/12/24,23,0,21.1,1441.35,86.28
2018/12/24,23,30,21.1,1415.02,113.6
2018/12/24,22,0,22.6,1528.57,90.63
2018/12/24,22,30,22.6,1476.53,117.99
2018/12/24,21,0,23.9,1606.13,95.27
2018/12/24,21,30,23.9,1524.22,79.5
2018/12/24,20,0,23.5,1765.8,206.53
2018/12/24,20,30,23.5,1693.62,130.08
2018/12/24,19,0,24.8,1898.01,283.48
2018/12/24,19,30,24.8,1844.86,199.78
2018/12/24,18,0,29.5,1899.65,193.67
2018/12/24,18,30,29.5,1930.93,290.12
2018/12/24,17,0,33.1,1826.34,253.71
2018/12/24,17,30,33.1,1875.03,182.16
2018/12/24,16,0,33.4,1658.69,180.24
2018/12/24,16,30,33.4,1732.65,189.26
2018/12/24,15,0,34.3,1471.96,176.65
2018/12/24,15,30,34.3,1550.86,172.09
2018/12/24,14,0,34.1,1332.71,148.86
2018/12/24,14,30,34.1,1410.32,154.67
2018/12/24,13,0,34.8,1195.95,90.72
2018/12/24,13,30,34.8,1247.41,118.18
2018/12/24,12,0,33.7,1083.48,71.26
2018/12/24,12,30,33.7,1144.33,73.77
2018/12/24,11,0,32.9,993.53,62.37
2018/12/24,11,30,32.9,1036.84,64.35
2018/12/24,10,0,32.4,993.85,55.79
2018/12/24,10,30,32.4,990.72,61.58
2018/12/24,9,0,30.5,1015.71,58.34
2018/12/24,9,30,30.5,994.18,58.65
2018/12/24,8,0,27.5,1065.2,57.91
2018/12/24,8,30,27.5,1046.7,63.5
2018/12/24,7,0,26.8,1095.3,51.81
2018/12/24,7,30,26.8,1093.18,54.45
2018/12/24,6,0,20.2,1083.26,52.83
2018/12/24,6,30,20.2,1088.35,51.46
2018/12/24,5,0,14.8,1097.61,33.84
2018/12/24,5,30,14.8,1088.95,55.57
2018/12/24,4,0,14.2,1104.94,18.96
2018/12/24,4,30,14.2,1089.82,24.77
2018/12/24,3,0,14.8,1157.08,49.8
2018/12/24,3,30,14.8,1125.93,38.25
2018/12/24,2,0,15.9,1200.54,52.1
2018/12/24,2,30,15.9,1172.26,46.37
2018/12/24,1,0,16.2,1351.73,81.74
2018/12/24,1,30,16.2,1263.26,58.94
2018/12/24,0,0,17.2,1502.33,101.87
2018/12/24,0,30,17.2,1421.52,72.58
2018/12/23,23,0,18.2,1360.92,104.07
2018/12/23,23,30,18.2,1346.73,84.73
2018/12/23,22,0,19.1,1438.1,105.57
2018/12/23,22,30,19.1,1389.53,116.05
2018/12/23,21,0,21.6,1485.53,116.11
2018/12/23,21,30,21.6,1459.25,109.14
2018/12/23,20,0,21.9,1500.01,122.81
2018/12/23,20,30,21.9,1479.4,115.17
2018/12/23,19,0,22.8,1518.02,160.13
2018/12/23,19,30,22.8,1504.32,128.63
2018/12/23,18,0,25.6,1403.59,118.21
2018/12/23,18,30,25.6,1482.49,136.42
2018/12/23,17,0,25.5,1195.14,85.23
2018/12/23,17,30,25.5,1330.65,121.57
2018/12/23,16,0,26.3,988.15,84.41
2018/12/23,16,30,26.3,1081.04,81.22
2018/12/23,15,0,24.9,863.68,64.54
2018/12/23,15,30,24.9,900.03,67.63
2018/12/23,14,0,23.9,789.74,60.07
2018/12/23,14,30,23.9,837.1,62.5
2018/12/23,13,0,23.7,754.64,59.29
2018/12/23,13,30,23.7,758.51,59.03
2018/12/23,12,0,22.3,705.87,57.12
2018/12/23,12,30,22.3,727.64,57.68
2018/12/23,11,0,22.5,703.87,57.61
2018/12/23,11,30,22.5,680.12,57.16
2018/12/23,10,0,20.7,733.54,61.57
2018/12/23,10,30,20.7,717.5,58.34
2018/12/23,9,0,19.7,831.66,58.65
2018/12/23,9,30,19.7,765.44,53.7
2018/12/23,8,0,18.4,937.81,57.26
2018/12/23,8,30,18.4,876.43,58.52
2018/12/23,7,0,17.6,1034.59,54.92
2018/12/23,7,30,17.6,1000.66,54.06
2018/12/23,6,0,15.1,1066.98,53.29
2018/12/23,6,30,15.1,1057.27,54.95
2018/12/23,5,0,11.3,1057.03,54.22
2018/12/23,5,30,11.3,1070.21,54.29
2018/12/23,4,0,10.4,1041.72,46.93
2018/12/23,4,30,10.4,1036.39,54.75
2018/12/23,3,0,11.8,1091.64,56.41
2018/12/23,3,30,11.8,1047.34,52.9
2018/12/23,2,0,12.7,1129.41,63.65
2018/12/23,2,30,12.7,1091.52,68.5
2018/12/23,1,0,12.8,1279.41,71.2
2018/12/23,1,30,12.8,1197.3,70.72
2018/12/23,0,0,14.0,1390.18,103.5
2018/12/23,0,30,14.0,1342.89,86.1
2018/12/22,23,0,14.4,1207.63,73.92
2018/12/22,23,30,14.4,1208.84,80.82
2018/12/22,22,0,14.7,1238.2,77.65
2018/12/22,22,30,14.7,1229.15,84.72
2018/12/22,21,0,15.4,1292.67,86.1
2018/12/22,21,30,15.4,1266.63,78.84
2018/12/22,20,0,16.2,1267.51,113.29
2018/12/22,20,30,16.2,1277.05,112.35
2018/12/22,19,0,16.8,1217.63,86.05
2018/12/22,19,30,16.8,1240.0,86.48
2018/12/22,18,0,19.5,1091.1,97.91
2018/12/22,18,30,19.5,1143.22,97.7
2018/12/22,17,0,20.1,918.63,81.95
2018/12/22,17,30,20.1,1016.53,87.01
2018/12/22,16,0,20.3,768.78,72.98
2018/12/22,16,30,20.3,833.48,74.36
2018/12/22,15,0,20.4,659.79,63.31
2018/12/22,15,30,20.4,700.17,69.47
2018/12/22,14,0,20.9,621.99,59.39
2018/12/22,14,30,20.9,630.78,54.84
2018/12/22,13,0,20.7,649.28,56.99
2018/12/22,13,30,20.7,620.29,55.65
2018/12/22,12,0,20.8,699.16,61.01
2018/12/22,12,30,20.8,656.15,61.7
2018/12/22,11,0,20.4,846.13,71.83
2018/12/22,11,30,20.4,816.94,68.62
2018/12/22,10,0,19.6,914.89,77.43
2018/12/22,10,30,19.6,887.4,77.61
2018/12/22,9,0,17.9,975.27,73.95
2018/12/22,9,30,17.9,933.62,86.15
2018/12/22,8,0,18.0,1044.78,75.19
