obs_date,hour,minute,curr_temp,demand,spot_price
2018/12/31,23,0,13.8,1046.08,82.14
2018/12/31,23,30,13.8,1022.57,79.09
2018/12/31,22,0,14.3,1049.19,83.65
2018/12/31,22,30,14.3,1061.77,81.01
2018/12/31,21,0,15.0,1076.71,87.58
2018/12/31,21,30,15.0,1067.46,96.83
2018/12/31,20,0,16.1,1073.66,73.18
2018/12/31,20,30,16.1,1079.55,83.32
2018/12/31,19,0,17.1,1089.2,67.36
2018/12/31,19,30,17.1,1079.41,67.98
2018/12/31,18,0,17.7,1101.07,80.53
2018/12/31,18,30,17.7,1082.48,68.99
2018/12/31,17,0,18.4,1111.8,80.58
2018/12/31,17,30,18.4,1106.27,76.59
2018/12/31,16,0,18.9,1093.17,91.53
2018/12/31,16,30,18.9,1104.57,81.04
2018/12/31,15,0,20.2,1054.29,84.34
2018/12/31,15,30,20.2,1064.84,93.49
2018/12/31,14,0,21.3,1048.12,91.77
2018/12/31,14,30,21.3,1061.69,96.93
2018/12/31,13,0,22.4,1043.79,91.15
2018/12/31,13,30,22.4,1034.23,88.6
2018/12/31,12,0,21.6,1023.08,79.12
2018/12/31,12,30,21.6,1029.0,99.25
2018/12/31,11,0,21.4,1060.22,118.57
2018/12/31,11,30,21.4,1033.57,79.12
2018/12/31,10,0,20.9,1088.03,83.83
2018/12/31,10,30,20.9,1068.83,80.84
2018/12/31,9,0,19.4,1093.84,71.46
2018/12/31,9,30,19.4,1087.74,76.46
2018/12/31,8,0,18.6,1105.12,71.47
2018/12/31,8,30,18.6,1114.4,73.76
2018/12/31,7,0,17.4,1101.71,89.22
2018/12/31,7,30,17.4,1116.15,89.72
2018/12/31,6,0,16.6,1049.65,82.29
2018/12/31,6,30,16.6,1077.27,83.88
2018/12/31,5,0,15.9,981.35,78.37
2018/12/31,5,30,15.9,1022.24,81.55
2018/12/31,4,0,16.2,957.17,71.65
2018/12/31,4,30,16.2,978.8,72.77
2018/12/31,3,0,16.4,963.75,73.05
2018/12/31,3,30,16.4,947.97,72.55
2018/12/31,2,0,16.5,988.12,80.54
2018/12/31,2,30,16.5,977.94,76.48
2018/12/31,1,0,16.3,990.18,88.84
2018/12/31,1,30,16.3,987.07,84.73
2018/12/31,0,0,16.5,982.66,93.96
2018/12/31,0,30,16.5,991.52,83.28
2018/12/30,23,0,16.6,1021.87,76.64
2018/12/30,23,30,16.6,1000.7,80.48
2018/12/30,22,0,16.7,1074.53,107.06
2018/12/30,22,30,16.7,1052.18,72.89
2018/12/30,21,0,16.5,1129.42,83.99
2018/12/30,21,30,16.5,1120.54,79.13
2018/12/30,20,0,16.6,1122.72,91.74
2018/12/30,20,30,16.6,1135.0,85.42
2018/12/30,19,0,17.1,1104.95,71.82
2018/12/30,19,30,17.1,1098.87,76.98
2018/12/30,18,0,18.4,1135.11,86.26
2018/12/30,18,30,18.4,1106.73,71.77
2018/12/30,17,0,20.0,1126.26,120.58
2018/12/30,17,30,20.0,1142.27,103.25
2018/12/30,16,0,21.2,1057.5,89.21
2018/12/30,16,30,21.2,1093.11,101.29
2018/12/30,15,0,21.5,1041.89,97.99
2018/12/30,15,30,21.5,1051.26,98.06
2018/12/30,14,0,22.0,1033.44,103.07
2018/12/30,14,30,22.0,1044.63,99.88
2018/12/30,13,0,22.0,993.62,91.77
2018/12/30,13,30,22.0,1008.84,95.07
2018/12/30,12,0,21.6,1025.94,85.07
2018/12/30,12,30,21.6,1030.7,84.51
2018/12/30,11,0,20.9,1007.09,105.67
2018/12/30,11,30,20.9,1002.56,111.64
2018/12/30,10,0,19.6,1024.15,92.92
2018/12/30,10,30,19.6,1003.05,91.61
2018/12/30,9,0,18.0,1047.4,84.28
2018/12/30,9,30,18.0,1039.84,85.24
2018/12/30,8,0,16.6,1055.96,71.92
2018/12/30,8,30,16.6,1052.56,75.56
2018/12/30,7,0,15.3,1036.34,72.09
2018/12/30,7,30,15.3,1054.63,71.47
2018/12/30,6,0,15.0,1008.86,71.47
2018/12/30,6,30,15.0,1017.52,72.93
2018/12/30,5,0,14.1,990.88,71.46
2018/12/30,5,30,14.1,1001.22,72.86
2018/12/30,4,0,14.5,978.36,71.44
2018/12/30,4,30,14.5,996.49,72.82
2018/12/30,3,0,15.6,964.64,75.1
2018/12/30,3,30,15.6,965.81,71.45
2018/12/30,2,0,15.9,980.3,71.47
2018/12/30,2,30,15.9,965.35,75.91
2018/12/30,1,0,15.9,1015.63,71.72
2018/12/30,1,30,15.9,1000.39,78.43
2018/12/30,0,0,15.4,1045.33,88.89
2018/12/30,0,30,15.4,1024.9,65.98
2018/12/29,23,0,15.4,1060.06,67.66
2018/12/29,23,30,15.4,1059.33,67.41
2018/12/29,22,0,16.1,1108.78,75.09
2018/12/29,22,30,16.1,1080.57,76.59
2018/12/29,21,0,16.7,1152.69,79.26
2018/12/29,21,30,16.7,1132.42,74.85
2018/12/29,20,0,17.6,1102.9,79.1
2018/12/29,20,30,17.6,1147.13,77.47
2018/12/29,19,0,18.8,1129.73,57.06
2018/12/29,19,30,18.8,1105.84,87.27
2018/12/29,18,0,24.2,1164.4,83.05
2018/12/29,18,30,24.2,1164.1,65.4
2018/12/29,17,0,24.6,1124.05,56.87
2018/12/29,17,30,24.6,1154.56,54.29
2018/12/29,16,0,25.2,1046.01,52.47
2018/12/29,16,30,25.2,1109.22,67.99
2018/12/29,15,0,24.9,996.99,65.57
2018/12/29,15,30,24.9,1025.73,43.34
2018/12/29,14,0,25.3,973.66,76.32
2018/12/29,14,30,25.3,990.85,43.27
2018/12/29,13,0,25.5,964.95,130.71
2018/12/29,13,30,25.5,959.97,24.55
2018/12/29,12,0,24.1,951.01,93.81
2018/12/29,12,30,24.1,965.84,77.23
2018/12/29,11,0,24.3,973.1,71.7
2018/12/29,11,30,24.3,967.22,78.54
2018/12/29,10,0,24.4,977.4,101.66
2018/12/29,10,30,24.4,971.89,87.85
2018/12/29,9,0,23.4,1013.51,101.83
2018/12/29,9,30,23.4,1002.85,108.83
2018/12/29,8,0,22.3,998.93,73.81
2018/12/29,8,30,22.3,1034.47,67.14
2018/12/29,7,0,20.7,985.96,98.86
2018/12/29,7,30,20.7,998.7,115.07
2018/12/29,6,0,20.6,892.61,91.36
2018/12/29,6,30,20.6,928.54,149.25
2018/12/29,5,0,18.8,904.33,67.28
2018/12/29,5,30,18.8,856.58,69.83
2018/12/29,4,0,19.6,933.69,70.66
2018/12/29,4,30,19.6,947.87,69.38
2018/12/29,3,0,19.7,926.22,63.03
2018/12/29,3,30,19.7,903.59,70.31
2018/12/29,2,0,18.1,894.92,72.36
2018/12/29,2,30,18.1,949.08,76.01
2018/12/29,1,0,16.6,969.12,73.99
2018/12/29,1,30,16.6,939.03,71.72
2018/12/29,0,0,16.5,996.97,73.07
2018/12/29,0,30,16.5,960.56,77.53
2018/12/28,23,0,15.9,1081.32,63.61
2018/12/28,23,30,15.9,1039.61,68.36
2018/12/28,22,0,15.6,1143.6,72.81
2018/12/28,22,30,15.6,1105.73,70.36
