date,hour,minute,temp,demand,spot
1/1/18,0,0,21.27,7034.74,88
1/1/18,0,30,21.27,6912.25,91.86
1/1/18,1,0,21.08,6745.63,88.83
1/1/18,1,30,21.08,6466.06,73.62
1/1/18,2,0,20.4,6279.8,71.49
1/1/18,2,30,20.4,6177.31,69.27
1/1/18,3,0,19.7,6050.43,68.44
1/1/18,3,30,19.7,6032.48,69.67
1/1/18,4,0,19.7,5968.5,67.58
1/1/18,4,30,19.7,5953.75,67.09
1/1/18,5,0,19.3,5962.18,67.53
1/1/18,5,30,19.3,5991.69,65.8
1/1/18,6,0,20.36,6062.03,61.53
1/1/18,6,30,20.36,6204.87,66.62
1/1/18,7,0,22.3,6352.58,68.42
1/1/18,7,30,22.3,6548.03,69.02
1/1/18,8,0,23.63,6728.17,69
1/1/18,8,30,23.63,6885.22,68.88
1/1/18,9,0,25.59,7080.7,69.22
1/1/18,9,30,25.59,7281.71,74.04
1/1/18,10,0,27.63,7474.62,75.15
1/1/18,10,30,27.63,7663.88,75.2
1/1/18,11,0,28.57,7764.89,80.66
1/1/18,11,30,28.57,7813.63,77.93
1/1/18,12,0,29.36,7815.47,71.48
1/1/18,12,30,29.36,7804.96,70.47
1/1/18,13,0,29.95,7901.26,76.55
1/1/18,13,30,29.95,7938.72,83.84
1/1/18,14,0,30.37,8000.7,85.14
1/1/18,14,30,30.37,8090.72,84.88
1/1/18,15,0,30.66,8210.88,82.54
1/1/18,15,30,30.66,8365.1,87.06
1/1/18,16,0,30.93,8512.21,95.05
1/1/18,16,30,30.93,8601.46,90.84
1/1/18,17,0,29.44,8747.49,91.46
1/1/18,17,30,29.44,8693.3,81.83
1/1/18,18,0,27.97,8672.52,79.93
1/1/18,18,30,27.97,8531.94,72.77
1/1/18,19,0,26.8,8279.37,74.45
1/1/18,19,30,26.8,8189.38,71.73
1/1/18,20,0,24.33,8161.52,76.95
1/1/18,20,30,24.33,8122.2,78.91
1/1/18,21,0,22.91,7957.58,69.42
1/1/18,21,30,22.91,7860.28,71.31
1/1/18,22,0,23.18,7648.52,66.1
1/1/18,22,30,23.18,7567.13,65.72
1/1/18,23,0,21.09,7336.37,62.37
1/1/18,23,30,21.09,7123.26,62.84
2/1/18,0,0,20.73,6989.32,58.48
2/1/18,0,30,20.73,6815.38,56.73
2/1/18,1,0,20.88,6590.78,56.88
2/1/18,1,30,20.88,6290.12,53.73
2/1/18,2,0,20.19,6139.77,55.07
2/1/18,2,30,20.19,6030.56,53.74
2/1/18,3,0,19.6,5986.37,54.98
2/1/18,3,30,19.6,5986.86,54.98
2/1/18,4,0,19.45,6013.38,54.98
2/1/18,4,30,19.45,6198.13,52.47
2/1/18,5,0,19.07,6271.44,66.62
2/1/18,5,30,19.07,6557.23,66.89
2/1/18,6,0,20.03,6847.25,67.29
2/1/18,6,30,20.03,7155.88,66.02
2/1/18,7,0,22.55,7484.5,72.28
2/1/18,7,30,22.55,7720.92,68.82
2/1/18,8,0,23.77,7958.55,70.86
2/1/18,8,30,23.77,8151.75,76.01
2/1/18,9,0,25.59,8234.16,80.39
2/1/18,9,30,25.59,8269.59,77.83
2/1/18,10,0,27.45,8341.24,73.66
2/1/18,10,30,27.45,8425.75,76.87
2/1/18,11,0,28.09,8485.87,80.17
2/1/18,11,30,28.09,8524.38,80.47
2/1/18,12,0,29.2,8664.14,84.26
2/1/18,12,30,29.2,8843.15,85.01
2/1/18,13,0,31.43,8968.42,83.71
2/1/18,13,30,31.43,9074.74,89.59
2/1/18,14,0,29.03,9176.26,84.79
2/1/18,14,30,29.03,9191.54,86.58
2/1/18,15,0,28.53,9254.81,83.04
2/1/18,15,30,28.53,9395.79,94.22
2/1/18,16,0,31.13,9340.21,83.62
2/1/18,16,30,31.13,9278.8,86.68
2/1/18,17,0,27.7,9191.39,83.16
2/1/18,17,30,27.7,9001.98,74.63
2/1/18,18,0,26.97,8929.07,76.69
2/1/18,18,30,26.97,8720.3,80.12
2/1/18,19,0,28,8610.79,80.86
2/1/18,19,30,28,8474.83,71.84
2/1/18,20,0,24.54,8371.65,79.41
2/1/18,20,30,24.54,8337.88,79.66
2/1/18,21,0,23.34,8133.61,69.37
2/1/18,21,30,23.34,8088.81,68.3
2/1/18,22,0,23.43,7816.8,62.36
2/1/18,22,30,23.43,7736.95,67.48
2/1/18,23,0,21.39,7551.29,66.48
2/1/18,23,30,21.39,7343.45,67.23
3/1/18,0,0,21.06,7176.17,64.82
3/1/18,0,30,21.06,6942.74,59.82
3/1/18,1,0,20.68,6775.6,56.38
3/1/18,1,30,20.68,6495.39,49.35
3/1/18,2,0,19.64,6255.22,49.82
3/1/18,2,30,19.64,6140.19,53.63
3/1/18,3,0,18.7,6075.4,53.14
3/1/18,3,30,18.7,6046.01,54.98
3/1/18,4,0,18.05,6115.91,54.98
3/1/18,4,30,18.05,6241.05,56.23
3/1/18,5,0,17.1,6354.49,57.29
3/1/18,5,30,17.1,6616.59,62.69
3/1/18,6,0,19.06,6846.51,62.87
3/1/18,6,30,19.06,7181.93,65.24
3/1/18,7,0,21.58,7461.36,66
3/1/18,7,30,21.58,7729.2,67.35
3/1/18,8,0,23.24,7861.83,67.57
3/1/18,8,30,23.24,8041.58,68.99
3/1/18,9,0,24,8077,70.09
3/1/18,9,30,24,8077.08,69.92
3/1/18,10,0,25.85,8094.46,69.36
3/1/18,10,30,25.85,8078.4,67.96
3/1/18,11,0,26.53,8048,70.7
3/1/18,11,30,26.53,8012.75,68.48
3/1/18,12,0,27.33,7981.82,72.91
3/1/18,12,30,27.33,7962.27,70.04
3/1/18,13,0,28.28,7953.31,69.41
3/1/18,13,30,28.28,7912.41,69.23
3/1/18,14,0,28.31,7995.47,75.4
3/1/18,14,30,28.31,8092.41,73.62
3/1/18,15,0,27.64,8139.25,72.87
3/1/18,15,30,27.64,8166.93,69.25
3/1/18,16,0,28.08,8208.16,69.34
3/1/18,16,30,28.08,8222.51,68.09
3/1/18,17,0,26.66,8235.15,68.83
3/1/18,17,30,26.66,8098.25,66.81
3/1/18,18,0,25.9,8069.57,64.5
3/1/18,18,30,25.9,7958.95,70.5
3/1/18,19,0,24.9,7876.04,72.31
3/1/18,19,30,24.9,7940.51,74.53
3/1/18,20,0,22.73,7966.69,68.89
3/1/18,20,30,22.73,7799.42,63.51
3/1/18,21,0,21.83,7601.8,61.22
3/1/18,21,30,21.83,7591.55,61.67
3/1/18,22,0,21.35,7508.93,61.28
3/1/18,22,30,21.35,7496.14,61.8
3/1/18,23,0,20.6,7362.91,63.2
3/1/18,23,30,20.6,7180.62,65.25
4/1/18,0,0,20.01,7046.18,64.73
4/1/18,0,30,20.01,6913.03,60.22
4/1/18,1,0,19.35,6696.01,55.2
4/1/18,1,30,19.35,6424.05,47.44
4/1/18,2,0,18.96,6186.67,49.8
4/1/18,2,30,18.96,6054.3,53.52
4/1/18,3,0,18.56,5968.01,53.47
4/1/18,3,30,18.56,5992.93,40.56
4/1/18,4,0,17.08,6027.42,53.18
4/1/18,4,30,17.08,6207.34,53.85
4/1/18,5,0,17.17,6308.43,53.73
4/1/18,5,30,17.17,6590.55,56.7
4/1/18,6,0,18.36,6834.57,58.72
4/1/18,6,30,18.36,7091.77,61.34
4/1/18,7,0,19.58,7344.8,66.79
4/1/18,7,30,19.58,7596.23,63.62
4/1/18,8,0,21.7,7721.55,63.74
4/1/18,8,30,21.7,7890.61,66.89
4/1/18,9,0,23.01,7934.85,67.98
4/1/18,9,30,23.01,7984.07,68.91
4/1/18,10,0,23.53,7930.86,68.78
4/1/18,10,30,23.53,7931.25,67.98
4/1/18,11,0,25.24,7905.96,68.4
4/1/18,11,30,25.24,7863.27,66.02
4/1/18,12,0,26.51,7776.98,65.92
4/1/18,12,30,26.51,7774.78,65.74
4/1/18,13,0,27.93,7854.9,69
4/1/18,13,30,27.93,7864.8,64.84
4/1/18,14,0,28.3,7960.95,67.2
4/1/18,14,30,28.3,8032.14,67
4/1/18,15,0,28.86,8089.28,67.78
4/1/18,15,30,28.86,8198.19,68
4/1/18,16,0,29.78,8368.81,75.71
4/1/18,16,30,29.78,8507.89,76.28
4/1/18,17,0,28.6,8640.31,93.01
4/1/18,17,30,28.6,8564.64,89.73
4/1/18,18,0,27.51,8651.08,86.58
4/1/18,18,30,27.51,8474.83,73.63
4/1/18,19,0,26.73,8343.16,58.97
4/1/18,19,30,26.73,8319.64,63.68
4/1/18,20,0,24.03,8380.63,71.72
4/1/18,20,30,24.03,8171.64,59.77
4/1/18,21,0,22.5,7975.09,59.55
4/1/18,21,30,22.5,7960.97,58.57
4/1/18,22,0,22.23,7762.97,56.77
4/1/18,22,30,22.23,7700.07,61.21
4/1/18,23,0,21.46,7556.06,59.88
4/1/18,23,30,21.46,7397.55,59.33
5/1/18,0,0,20.44,7279.13,56.23
5/1/18,0,30,20.44,7083.12,56.06
5/1/18,1,0,20.48,6876.3,54.99
5/1/18,1,30,20.48,6575.75,55
5/1/18,2,0,19,6348.74,55
5/1/18,2,30,19,6191.18,53.38
5/1/18,3,0,18.21,6134.37,55.32
5/1/18,3,30,18.21,6125.26,55
5/1/18,4,0,18.33,6190.89,53.65
5/1/18,4,30,18.33,6314.89,57.16
5/1/18,5,0,17.86,6415.11,55.01
5/1/18,5,30,17.86,6690.79,57.12
5/1/18,6,0,19.1,6943.54,59.59
5/1/18,6,30,19.1,7211.47,58.64
5/1/18,7,0,21.8,7461.84,64.62
5/1/18,7,30,21.8,7708.18,60.39
5/1/18,8,0,23.39,7860.93,59.89
5/1/18,8,30,23.39,8039,64.51
5/1/18,9,0,25.63,8076.37,65.33
5/1/18,9,30,25.63,8164.45,65.88
5/1/18,10,0,27.9,8241.28,65.56
5/1/18,10,30,27.9,8302.25,66.88
5/1/18,11,0,28.83,8363.45,65.54
5/1/18,11,30,28.83,8435,63.54
5/1/18,12,0,29.84,8570.02,65.76
5/1/18,12,30,29.84,8684.43,65.25
5/1/18,13,0,31.75,8680.29,65.09
5/1/18,13,30,31.75,8793.46,77.04
5/1/18,14,0,31.27,8980.68,71.44
5/1/18,14,30,31.27,9133.79,73.5
5/1/18,15,0,31.39,9257.67,75.66
5/1/18,15,30,31.39,9383.16,76.17
5/1/18,16,0,32.93,9561.38,91.72
5/1/18,16,30,32.93,9666.12,97.9
5/1/18,17,0,30.76,9727,94.21
5/1/18,17,30,30.76,9567.07,79.48
5/1/18,18,0,29.86,9473.29,69.07
5/1/18,18,30,29.86,9168.98,66.73
5/1/18,19,0,29.98,8970.64,69.56
5/1/18,19,30,29.98,8852.64,70.63
5/1/18,20,0,25.67,8755.71,73.98
5/1/18,20,30,25.67,8589.39,66.24
5/1/18,21,0,24.43,8325.14,65.81
5/1/18,21,30,24.43,8285.98,63.96
5/1/18,22,0,24.28,8054.92,59.37
5/1/18,22,30,24.28,8031.44,61.47
5/1/18,23,0,22.39,7846.27,63.81
5/1/18,23,30,22.39,7630.03,65.02
6/1/18,0,0,21.33,7396.42,61.44
6/1/18,0,30,21.33,7189.5,61.14
6/1/18,1,0,21,7007.04,56.04
6/1/18,1,30,21,6687.68,53.54
6/1/18,2,0,20.29,6407.55,49.93
6/1/18,2,30,20.29,6204.39,47.86
6/1/18,3,0,20.19,6130.71,50.26
6/1/18,3,30,20.19,6061.08,48.34
6/1/18,4,0,21.13,6089.77,47.76
6/1/18,4,30,21.13,6124.02,54.98
6/1/18,5,0,19.17,6166.93,52.63
6/1/18,5,30,19.17,6252.14,54.51
6/1/18,6,0,20.67,6414.67,49.94
6/1/18,6,30,20.67,6675.19,54.99
6/1/18,7,0,23.88,6905.28,55.09
6/1/18,7,30,23.88,7240.09,56.79
6/1/18,8,0,25.4,7487.92,57.77
6/1/18,8,30,25.4,7789.89,58.62
6/1/18,9,0,27.89,7960.76,59.75
6/1/18,9,30,27.89,8140.16,59.71
6/1/18,10,0,31,8314.42,67.74
6/1/18,10,30,31,8453.84,65.18
6/1/18,11,0,32.24,8617,56.83
6/1/18,11,30,32.24,8755.61,60.14
6/1/18,12,0,33.04,8970.05,61.6
6/1/18,12,30,33.04,9182.53,65.47
6/1/18,13,0,33.9,9348.39,71.03
6/1/18,13,30,33.9,9556.16,70.26
6/1/18,14,0,34.56,9777.33,73.55
6/1/18,14,30,34.56,9950.25,77.66
6/1/18,15,0,34.79,10157.24,86.7
6/1/18,15,30,34.79,10338.83,89.49
6/1/18,16,0,35.58,10509.42,94.77
6/1/18,16,30,35.58,10578.21,100.03
6/1/18,17,0,34.31,10658.87,94.58
6/1/18,17,30,34.31,10660.05,89.25
6/1/18,18,0,33.11,10657.34,92.52
6/1/18,18,30,33.11,10503.68,93.01
6/1/18,19,0,32.38,10318.27,93.64
6/1/18,19,30,32.38,10093.85,90.67
6/1/18,20,0,28.14,10036.89,83.52
6/1/18,20,30,28.14,9855.58,82.1
6/1/18,21,0,26.46,9528.61,71.18
6/1/18,21,30,26.46,9265.29,71.51
6/1/18,22,0,26.08,8969.26,62.67
6/1/18,22,30,26.08,8730.45,66.2
6/1/18,23,0,23.79,8405.13,63.63
6/1/18,23,30,23.79,8034.19,63.81
7/1/18,0,0,23.93,7729.58,55.05
7/1/18,0,30,23.93,7415.47,63.84
7/1/18,1,0,25.5,7216.02,66.54
7/1/18,1,30,25.5,6899.91,56.17
7/1/18,2,0,22.81,6684.92,54.99
7/1/18,2,30,22.81,6564.1,55
7/1/18,3,0,22.16,6513.63,54.32
7/1/18,3,30,22.16,6448.53,55
7/1/18,4,0,23.3,6377.96,54.01
7/1/18,4,30,23.3,6374.2,53.65
7/1/18,5,0,21.34,6353.69,50.58
7/1/18,5,30,21.34,6389.83,53.56
7/1/18,6,0,22.76,6489.96,54.98
7/1/18,6,30,22.76,6755.66,54.65
7/1/18,7,0,27.28,7063.49,55.14
7/1/18,7,30,27.28,7481.68,59.75
7/1/18,8,0,28.93,7880.58,64.43
7/1/18,8,30,28.93,8408.23,68.85
7/1/18,9,0,31.64,8904.77,68.76
7/1/18,9,30,31.64,9480.91,69
7/1/18,10,0,35.65,9915.59,76.31
7/1/18,10,30,35.65,10297.62,79.51
7/1/18,11,0,36.21,10632.42,84.41
7/1/18,11,30,36.21,10833.18,78.16
7/1/18,12,0,37.6,11019.88,94.91
7/1/18,12,30,37.6,11227.32,95.42
7/1/18,13,0,38.4,11415.44,94.28
7/1/18,13,30,38.4,11538.73,94.55
7/1/18,14,0,38.17,11630.27,96.5
7/1/18,14,30,38.17,11751.71,101.55
7/1/18,15,0,37.66,11883.36,116.13
7/1/18,15,30,37.66,12022.31,124.22
7/1/18,16,0,37.03,12098.5,123.01
7/1/18,16,30,37.03,12084.27,133.41
7/1/18,17,0,35.27,12230.57,146.69
7/1/18,17,30,35.27,12021.05,122.89
7/1/18,18,0,33.64,11788.88,107.37
7/1/18,18,30,33.64,11379.66,96.76
7/1/18,19,0,31.1,11025.88,110.4
7/1/18,19,30,31.1,10699.48,99.37
7/1/18,20,0,28.56,10500.09,91.93
7/1/18,20,30,28.56,10241.09,87.21
7/1/18,21,0,27.8,9788.08,80.59
7/1/18,21,30,27.8,9444.77,75.01
7/1/18,22,0,28.53,9135.71,64.41
7/1/18,22,30,28.53,8828.83,87.88
7/1/18,23,0,25.19,8448.45,80.17
7/1/18,23,30,25.19,8085.12,64.73
8/1/18,0,0,24.93,7890.98,60.75
8/1/18,0,30,24.93,7641.48,75.58
8/1/18,1,0,25.18,7367.35,75.68
8/1/18,1,30,25.18,7000.75,56.93
8/1/18,2,0,25.61,6796.19,54.78
8/1/18,2,30,25.61,6757.94,54.68
8/1/18,3,0,24.99,6714.42,54.84
8/1/18,3,30,24.99,6770.79,54.99
8/1/18,4,0,24.7,6811.19,54.98
8/1/18,4,30,24.7,6962.23,55.28
8/1/18,5,0,23.44,7131.61,61.77
8/1/18,5,30,23.44,7493.16,64.93
8/1/18,6,0,24.16,7893.7,63.52
8/1/18,6,30,24.16,8283.58,65.75
8/1/18,7,0,26.4,8768.46,79.3
8/1/18,7,30,26.4,9117.54,74.86
8/1/18,8,0,28.07,9440.42,79.43
8/1/18,8,30,28.07,9671.71,83.94
8/1/18,9,0,29.5,9837.54,85.4
8/1/18,9,30,29.5,10020.58,84.83
8/1/18,10,0,32.13,10227.82,85.53
8/1/18,10,30,32.13,10390.69,91.44
8/1/18,11,0,32.03,10614.45,99.43
8/1/18,11,30,32.03,10748.03,95.23
8/1/18,12,0,33.2,10882.88,94.34
8/1/18,12,30,33.2,11169.31,103.01
8/1/18,13,0,35.15,11387.35,108.01
8/1/18,13,30,35.15,11694.5,113.84
8/1/18,14,0,33.56,11735.67,108.22
8/1/18,14,30,33.56,11937.04,100.07
8/1/18,15,0,33.93,12087.21,105.34
8/1/18,15,30,33.93,12088.8,98.47
8/1/18,16,0,33.75,12074.11,104.75
8/1/18,16,30,33.75,11923.99,100.84
8/1/18,17,0,31.51,11658.7,101.19
8/1/18,17,30,31.51,11237.98,90.7
8/1/18,18,0,30.39,11119.9,91.8
8/1/18,18,30,30.39,10819.54,88.7
8/1/18,19,0,29.63,10576.93,89.24
8/1/18,19,30,29.63,10476.65,91.5
8/1/18,20,0,26.11,10344.17,91.14
8/1/18,20,30,26.11,10099.21,90.45
8/1/18,21,0,25.94,9751.26,87.39
8/1/18,21,30,25.94,9523.54,87.3
8/1/18,22,0,26.48,9115.1,77.91
8/1/18,22,30,26.48,8919.67,84.64
8/1/18,23,0,24.53,8563.93,82.39
8/1/18,23,30,24.53,8240.65,84.84
9/1/18,0,0,23.86,8004.25,80.26
9/1/18,0,30,23.86,7788.11,78.68
9/1/18,1,0,25.25,7562.77,75.6
9/1/18,1,30,25.25,7275.13,76.81
9/1/18,2,0,23.41,7123.09,75.82
9/1/18,2,30,23.41,7018.4,68.66
9/1/18,3,0,22.87,6957.36,66.49
9/1/18,3,30,22.87,6928.04,59.73
9/1/18,4,0,22.8,6881.68,56.65
9/1/18,4,30,22.8,6979.35,55.27
9/1/18,5,0,21.61,7108.59,58.11
9/1/18,5,30,21.61,7600.49,56.26
9/1/18,6,0,22.24,7953.28,55.64
9/1/18,6,30,22.24,8332.46,64.28
9/1/18,7,0,23.48,8706.83,67.89
9/1/18,7,30,23.48,9084.45,69.02
9/1/18,8,0,25.09,9231.1,69.71
9/1/18,8,30,25.09,9315.93,69.03
9/1/18,9,0,26.39,9424.29,69.57
9/1/18,9,30,26.39,9519.54,72.21
9/1/18,10,0,27.03,9461.92,70.25
9/1/18,10,30,27.03,9478.62,72.46
9/1/18,11,0,28.69,9529.27,82.59
9/1/18,11,30,28.69,9466.53,84.29
9/1/18,12,0,29.84,9416.22,84.72
9/1/18,12,30,29.84,9617.96,83.84
9/1/18,13,0,31.73,9807.11,85.54
9/1/18,13,30,31.73,9845.16,83.83
9/1/18,14,0,31.87,9868.53,70.27
9/1/18,14,30,31.87,10105.37,75.87
9/1/18,15,0,32.1,10278.28,75.52
9/1/18,15,30,32.1,10366.95,75.02
9/1/18,16,0,31.23,10536.96,84.13
9/1/18,16,30,31.23,10633.95,88.33
9/1/18,17,0,29.01,10903.51,121.38
9/1/18,17,30,29.01,10695.83,103.05
9/1/18,18,0,27.96,10507.51,104.97
9/1/18,18,30,27.96,10175.39,79.35
9/1/18,19,0,24.38,9728.14,78.02
9/1/18,19,30,24.38,9455.42,72.85
9/1/18,20,0,24.33,9224.96,73.2
9/1/18,20,30,24.33,8911.79,76.25
9/1/18,21,0,23.79,8590.92,69.23
9/1/18,21,30,23.79,8454.11,70.54
9/1/18,22,0,23.13,8113.43,63.97
9/1/18,22,30,23.13,8024.88,70.13
9/1/18,23,0,21.94,7810.33,67.29
9/1/18,23,30,21.94,7635.8,70.14
10/1/18,0,0,21.16,7445.24,64.18
10/1/18,0,30,21.16,7274.84,61.3
10/1/18,1,0,21.53,7070.97,58.96
10/1/18,1,30,21.53,6743.85,56.62
10/1/18,2,0,20.69,6560.48,53.3
10/1/18,2,30,20.69,6463.16,55.18
10/1/18,3,0,20.39,6407.56,54.98
10/1/18,3,30,20.39,6394.4,58.77
10/1/18,4,0,20.15,6428.12,55.08
10/1/18,4,30,20.15,6587.03,59.19
10/1/18,5,0,19.77,6729.14,55.01
10/1/18,5,30,19.77,7066.99,61.49
10/1/18,6,0,20.34,7414.68,60.93
10/1/18,6,30,20.34,7732.38,65.77
