obs_date,hour,minute,curr_temp,demand,spot_price
2018/12/31,23,0,15.2,4247.55,78.95
2018/12/31,23,30,15.2,4439.96,75.33
2018/12/31,22,0,16.5,4292.49,79.39
2018/12/31,22,30,16.5,4257.85,77.34
2018/12/31,21,0,16.9,4427.23,83.19
2018/12/31,21,30,16.9,4361.43,92.39
2018/12/31,20,0,18.5,4502.72,66.64
2018/12/31,20,30,18.5,4493.58,78.72
2018/12/31,19,0,20.4,4783.18,64.6
2018/12/31,19,30,20.4,4588.45,64.62
2018/12/31,18,0,21.8,5045.24,76.81
2018/12/31,18,30,21.8,4930.18,71.79
2018/12/31,17,0,22.3,5200.56,86.49
2018/12/31,17,30,22.3,5132.11,77.6
2018/12/31,16,0,23.9,5082.53,97.05
2018/12/31,16,30,23.9,5157.76,86.83
2018/12/31,15,0,25.1,4816.93,88.23
2018/12/31,15,30,25.1,4973.16,98.49
2018/12/31,14,0,24.1,4589.93,92.18
2018/12/31,14,30,24.1,4708.2,101.42
2018/12/31,13,0,23.1,4411.73,93.64
2018/12/31,13,30,23.1,4494.64,88.93
2018/12/31,12,0,23.0,4355.87,99.44
2018/12/31,12,30,23.0,4364.88,100.89
2018/12/31,11,0,22.0,4256.56,104.33
2018/12/31,11,30,22.0,4309.46,93.9
2018/12/31,10,0,20.5,4222.91,85.34
2018/12/31,10,30,20.5,4232.24,82.76
2018/12/31,9,0,19.4,4263.99,93.61
2018/12/31,9,30,19.4,4244.19,94.6
2018/12/31,8,0,17.8,4203.49,95.0
2018/12/31,8,30,17.8,4261.28,97.61
2018/12/31,7,0,17.4,4131.34,93.21
2018/12/31,7,30,17.4,4120.8,92.6
2018/12/31,6,0,16.5,3919.05,84.84
2018/12/31,6,30,16.5,4051.25,85.41
2018/12/31,5,0,16.2,3652.75,73.98
2018/12/31,5,30,16.2,3798.56,78.8
2018/12/31,4,0,16.1,3535.46,67.67
2018/12/31,4,30,16.1,3599.01,68.06
2018/12/31,3,0,16.3,3533.62,68.95
2018/12/31,3,30,16.3,3521.81,68.85
2018/12/31,2,0,16.3,3666.97,76.69
2018/12/31,2,30,16.3,3585.63,72.19
2018/12/31,1,0,16.4,3913.64,85.92
2018/12/31,1,30,16.4,3825.84,81.74
2018/12/31,0,0,16.6,4215.02,108.3
2018/12/31,0,30,16.6,4040.8,85.41
2018/12/30,23,0,17.0,4011.66,76.88
2018/12/30,23,30,17.0,4218.95,87.44
2018/12/30,22,0,17.1,4134.65,76.46
2018/12/30,22,30,17.1,4026.47,70.69
2018/12/30,21,0,17.4,4321.14,83.09
2018/12/30,21,30,17.4,4246.96,74.33
2018/12/30,20,0,17.6,4398.11,96.76
2018/12/30,20,30,17.6,4412.07,86.25
2018/12/30,19,0,18.2,4399.36,74.93
2018/12/30,19,30,18.2,4351.99,78.8
2018/12/30,18,0,19.0,4568.27,91.83
2018/12/30,18,30,19.0,4474.03,75.7
2018/12/30,17,0,19.2,4631.71,129.42
2018/12/30,17,30,19.2,4607.87,111.2
2018/12/30,16,0,19.9,4453.01,93.11
2018/12/30,16,30,19.9,4532.55,105.71
2018/12/30,15,0,20.1,4307.1,103.04
2018/12/30,15,30,20.1,4376.36,102.63
2018/12/30,14,0,19.6,4227.93,107.7
2018/12/30,14,30,19.6,4287.73,105.29
2018/12/30,13,0,19.5,4159.32,96.45
2018/12/30,13,30,19.5,4187.1,99.32
2018/12/30,12,0,18.5,4136.66,89.18
2018/12/30,12,30,18.5,4140.89,88.05
2018/12/30,11,0,17.4,4324.99,105.17
2018/12/30,11,30,17.4,4240.53,116.8
2018/12/30,10,0,17.5,4333.25,92.15
2018/12/30,10,30,17.5,4374.42,90.84
2018/12/30,9,0,17.2,4189.81,81.91
2018/12/30,9,30,17.2,4336.38,87.15
2018/12/30,8,0,17.7,4041.92,66.53
2018/12/30,8,30,17.7,4136.82,71.98
2018/12/30,7,0,17.8,3909.6,62.94
2018/12/30,7,30,17.8,3911.38,58.25
2018/12/30,6,0,17.6,3758.73,56.82
2018/12/30,6,30,17.6,3845.91,65.16
2018/12/30,5,0,17.6,3659.04,59.32
2018/12/30,5,30,17.6,3714.43,67.61
2018/12/30,4,0,17.4,3597.71,58.86
2018/12/30,4,30,17.4,3637.16,65.08
2018/12/30,3,0,17.2,3657.27,70.25
2018/12/30,3,30,17.2,3627.81,64.22
2018/12/30,2,0,16.9,3837.1,71.18
2018/12/30,2,30,16.9,3717.89,71.89
2018/12/30,1,0,17.4,4076.44,72.19
2018/12/30,1,30,17.4,3986.33,74.35
2018/12/30,0,0,17.6,4456.18,95.3
2018/12/30,0,30,17.6,4244.74,67.79
2018/12/29,23,0,17.8,4291.0,69.81
2018/12/29,23,30,17.8,4471.82,71.48
2018/12/29,22,0,18.0,4400.61,79.49
2018/12/29,22,30,18.0,4332.06,80.45
2018/12/29,21,0,18.5,4585.32,85.43
2018/12/29,21,30,18.5,4509.11,79.83
2018/12/29,20,0,18.6,4690.38,106.25
2018/12/29,20,30,18.6,4675.86,84.81
2018/12/29,19,0,18.8,4798.76,82.2
2018/12/29,19,30,18.8,4741.95,95.91
2018/12/29,18,0,20.1,4935.01,110.05
2018/12/29,18,30,20.1,4865.89,86.1
2018/12/29,17,0,20.6,4979.38,115.44
2018/12/29,17,30,20.6,4993.49,111.07
2018/12/29,16,0,21.0,4819.02,89.13
2018/12/29,16,30,21.0,4877.76,109.08
2018/12/29,15,0,20.8,4748.2,87.14
2018/12/29,15,30,20.8,4770.58,101.24
2018/12/29,14,0,20.8,4697.19,87.74
2018/12/29,14,30,20.8,4679.32,82.76
2018/12/29,13,0,20.7,4770.63,141.49
2018/12/29,13,30,20.7,4736.07,191.15
2018/12/29,12,0,20.7,4807.92,100.72
2018/12/29,12,30,20.7,4825.88,103.03
2018/12/29,11,0,21.7,4808.87,76.73
2018/12/29,11,30,21.7,4803.03,83.89
2018/12/29,10,0,21.8,4753.56,109.4
2018/12/29,10,30,21.8,4796.74,94.5
