State,City,Season,Average,Std dev,,
NSW,Sydney,Summer,20.2886,4.531,,
NSW,Sydney,Autumn,18.2134,4.1752,,
NSW,Sydney,Winter,23.393,3.5377,,
NSW,Sydney,Spring,13.7619,3.5492,,
QLD,Brisbane,Summer,21.267,3.9673,,
QLD,Brisbane,Autumn,20.5475,3.8383,,
QLD,Brisbane,Winter,24.8499,2.8954,,
QLD,Brisbane,Spring,15.6298,4.2799,,
SA,Adelaide,Summer,18.3034,4.9808,,
SA,Adelaide,Autumn,15.9515,5.0437,,
SA,Adelaide,Winter,22.806,5.485,,
SA,Adelaide,Spring,12.1668,3.4108,,
Vic,Melbourne,Summer,15.7946,5.1954,,
Vic,Melbourne,Autumn,14.0704,5.5383,,
Vic,Melbourne,Winter,20.3776,5.8057,,
Vic,Melbourne,Spring,9.4466,3.1813,,
Tas,Hobart,Summer,13.8051,3.9234,,
Tas,Hobart,Autumn,12.7017,4.1071,,
Tas,Hobart,Winter,17.5252,4.2463,,
Tas,Hobart,Spring,8.9178,3.0472,,
,,,,,,
State,City,Week,Average,Std dev,Monthly Average,
NSW,Sydney,1,22.825,2.6998,23.9203,
NSW,Sydney,2,25.1863,4.5203,23.9203,
NSW,Sydney,3,21.4923,3.726,23.9203,
NSW,Sydney,4,25.7155,2.4048,23.9203,
NSW,Sydney,5,22.3708,3.6862,23.6367,
NSW,Sydney,6,23.5708,2.6561,23.2586,
NSW,Sydney,7,25.0054,3.1379,23.2586,
NSW,Sydney,8,23.9232,2.9076,23.2586,
NSW,Sydney,9,21.9786,2.7892,23.0579,
NSW,Sydney,10,21.8298,1.3779,22.7902,
NSW,Sydney,11,23.3321,3.1909,22.7902,
NSW,Sydney,12,23.0988,4.4297,22.7902,
NSW,Sydney,13,22.8274,3.3863,22.7902,
NSW,Sydney,14,22,2.6099,20,
NSW,Sydney,15,21,3.9345,20,
NSW,Sydney,16,20,2.5335,20,
NSW,Sydney,17,19,2.0922,20,
NSW,Sydney,18,18.4744,3.7173,17.4769,
NSW,Sydney,19,16.9994,4.0408,16.4676,
NSW,Sydney,20,15.1619,2.2215,16.4676,
NSW,Sydney,21,16.0601,3.1509,16.4676,
NSW,Sydney,22,14.978,3.1151,15.5967,
NSW,Sydney,23,14.0744,1.8043,13.4196,
NSW,Sydney,24,14.1232,2.8945,13.4196,
NSW,Sydney,25,12.9595,2.4544,13.4196,
NSW,Sydney,26,12.3786,3.204,13.4196,
NSW,Sydney,27,14.7494,4.0577,13.8911,
NSW,Sydney,28,12.3173,3.0605,13.8911,
NSW,Sydney,29,13.4964,4.1623,13.8911,
NSW,Sydney,30,14.3071,4.399,13.8911,
NSW,Sydney,31,15.3387,3.7991,13.9328,
NSW,Sydney,32,15.0929,3.9524,13.964,
NSW,Sydney,33,14.6732,4.2105,13.964,
NSW,Sydney,34,12.8756,2.6734,13.964,
NSW,Sydney,35,12.7875,3.0921,14.2224,
NSW,Sydney,36,14.2476,2.7469,15.7729,
NSW,Sydney,37,15,4.5655,15.7729,
NSW,Sydney,38,15.575,4.3704,15.7729,
NSW,Sydney,39,15.4167,3.4897,15.7729,
NSW,Sydney,40,16.4298,3.0858,17.8461,
NSW,Sydney,41,16.0655,2.3239,18.1917,
NSW,Sydney,42,20.1701,2.597,18.1917,
NSW,Sydney,43,19.0006,2.6551,18.1917,
NSW,Sydney,44,21.9994,5.022,19.258,
NSW,Sydney,45,20.512,4.1638,20.6797,
NSW,Sydney,46,19.7476,2.4816,20.6797,
NSW,Sydney,47,20.844,3.376,20.6797,
NSW,Sydney,48,19.6613,2.3411,21.0093,
NSW,Sydney,49,22.3375,3.7723,22.987,
NSW,Sydney,50,22.4917,2.191,22.987,
NSW,Sydney,51,22.6435,2.6586,22.987,
NSW,Sydney,52,23.9464,4.1475,22.987,
NSW,Sydney,53,25.2604,3.6026,22.987,
QLD,Brisbane,1,25.5594,2.0887,25.653,
QLD,Brisbane,2,26.3813,2.5668,25.653,
QLD,Brisbane,3,24.2339,4.0476,25.653,
QLD,Brisbane,4,26.0804,2.3304,25.653,
QLD,Brisbane,5,23.7839,3.5656,25.1435,
QLD,Brisbane,6,23.3482,3.1537,24.4641,
QLD,Brisbane,7,26.7723,2.5419,24.4641,
QLD,Brisbane,8,24.8036,2.1791,24.4641,
QLD,Brisbane,9,25.2438,2.4968,24.1688,
QLD,Brisbane,10,23.025,2.7857,23.7752,
QLD,Brisbane,11,22.8679,2.6463,23.7752,
QLD,Brisbane,12,24.0795,2.2033,23.7752,
QLD,Brisbane,13,24.225,2.0741,23.7752,
QLD,Brisbane,14,23.258,2.4041,21.9108,
QLD,Brisbane,15,22.575,2.6514,21.9108,
QLD,Brisbane,16,21.9286,3.1707,21.9108,
